Clase,Orden,Familia,Especie
Equisetopsida,Podocarpales,Podocarpaceae,"Prumnopitys montana"
Mammalia,Chiroptera,Phyllostomidae,"Anoura peruana"
Mammalia,Chiroptera,Vespertilionidae,"Myotis keaysi"
Aves,Apodiformes,Trochilidae,"Colibri coruscans"
Aves,Apodiformes,Trochilidae,"Colibri cyanotus"
Mammalia,Chiroptera,Phyllostomidae,"Carollia perspicillata"
Mammalia,Chiroptera,Phyllostomidae,"Carollia brevicauda"
Aves,Passeriformes,Tyrannidae,"Colonia colonus"
Equisetopsida,Poales,Cyperaceae,"Carex polystachya"
Aves,Passeriformes,Thraupidae,"Rauenia bonariensis"
Aves,Passeriformes,Furnariidae,"Premnoplex brunnescens"
Mammalia,Cetartiodactyla,Cervidae,"Mazama americana"
Mammalia,Cetartiodactyla,Cervidae,"Odocoileus peruvianus"
Mammalia,Chiroptera,Phyllostomidae,"Lophostoma silvicolum"
Equisetopsida,Asparagales,Orchidaceae,"Comparettia falcata"
Equisetopsida,Zingiberales,Zingiberaceae,"Renealmia thyrsoidea"
Mammalia,Carnivora,Mephitidae,"Conepatus chinga"
Aves,Passeriformes,Tyrannidae,"Conopias cinchoneti"
Mammalia,Carnivora,Felidae,"Leopardus pardalis"
Aves,Passeriformes,Tyrannidae,"Contopus fumigatus"
Mammalia,Rodentia,Cricetidae,"Rhipidomys gardneri"
Mammalia,Rodentia,Cricetidae,"Rhipidomys leucodactylus"
Aves,Piciformes,Picidae,"Campephilus melanoleucos"
Equisetopsida,Rosales,Moraceae,"Poulsenia armata"
Mammalia,Carnivora,Felidae,"Leopardus garleppi"
Mammalia,Chiroptera,Phyllostomidae,"Anoura aequatoris"
Mammalia,Rodentia,Caviidae,"Hydrochoerus hydrochaeris"
Equisetopsida,Malpighiales,Violaceae,"Rinorea pubiflora var. pubiflora"
Equisetopsida,Rosales,Rosaceae,"Polylepis pampabella"
Aves,Apodiformes,Trochilidae,"Ocreatus underwoodii"
Equisetopsida,Poales,Poaceae,"Lasiacis maculata"
Equisetopsida,Cucurbitales,Cucurbitaceae,"Gurania lobata"
Equisetopsida,Zingiberales,Marantaceae,"Calathea inocephala"
Mammalia,Carnivora,Procyonidae,"Nasua nasua"
Aves,Tinamiformes,Tinamidae,"Crypturellus obsoletus"
Aves,Tinamiformes,Tinamidae,"Crypturellus soui"
Mammalia,Chiroptera,Phyllostomidae,"Anoura geoffroyi"
Equisetopsida,Poales,Poaceae,"Poa annua"
Aves,Apodiformes,Trochilidae,"Eutoxeres condamini"
Equisetopsida,Lamiales,Acanthaceae,"Ruellia brevifolia"
Aves,Falconiformes,Falconidae,"Milvago chimachima"
Mammalia,Rodentia,Cuniculidae,"Cuniculus paca"
Mammalia,Rodentia,Cuniculidae,"Cuniculus taczanowskii"
Aves,Psittaciformes,Psittacidae,"Amazona mercenarius"
Mammalia,Didelphimorphia,Didelphidae,"Marmosops (Sciophanes) bishopi"
Aves,Passeriformes,Cotingidae,"Rupicola peruvianus"
Aves,Accipitriformes,Accipitridae,"Buteogallus schistaceus"
Aves,Passeriformes,Corvidae,"Cyanocorax yncas"
Aves,Passeriformes,Cardinalidae,"Cyanoloxia rothschildii"
Insecta,Hymenoptera,Ichneumonidae,"Meggoleus pampahermosensis"
Aves,Accipitriformes,Accipitridae,"Ictinia plumbea"
Equisetopsida,Alismatales,Araceae,"Stenospermation zeacarpium"
