Clase,Orden,Familia,Especie
Mammalia,Rodentia,Cricetidae,"Thomasomys kalinowskii"
Mammalia,Rodentia,Cricetidae,"Thomasomys taczanowskii"
Reptilia,Sauria,Tropiduridae,"Stenocercus stigmosus"
Amphibia,Anura,Craugastoridae,"Lynchius parkeri"
Amphibia,Anura,Craugastoridae,"Pristimantis bellator"
Reptilia,Serpentes,Dipsadidae,"Sibynomorphus vagrans"
Equisetopsida,Ericales,Marcgraviaceae,"Souroubea peruviana"
Amphibia,Anura,Craugastoridae,"Pristimantis percnopterus"
Reptilia,Sauria,Tropiduridae,"Microlophus stolzmanni"
Equisetopsida,Ericales,Primulaceae,"Geissanthus spectabilis"
Reptilia,Serpentes,Leptotyphlopidae,"Epictia teaguei"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum panicoides"
Equisetopsida,Laurales,Lauraceae,"Aiouea floccosa"
Amphibia,Anura,Craugastoridae,"Pristimantis aquilonaris"
Aves,Passeriformes,Rhinocryptidae,"Scytalopus unicolor"
Equisetopsida,Asterales,Asteraceae,"Nordenstamia cajamarcensis"
Amphibia,Anura,Craugastoridae,"Pristimantis sternothylax"
Reptilia,Serpentes,Dipsadidae,"Oxyrhopus erdisii"
Reptilia,Sauria,Tropiduridae,"Stenocercus empetrus"
Equisetopsida,Solanales,Solanaceae,"Cestrum weberbaueri"
Equisetopsida,Aquifoliales,Aquifoliaceae,"Ilex jelskii"
Aves,Passeriformes,Thraupidae,"Incaspiza watkinsi"
Reptilia,Sauria,Gymnophthalmidae,"Pholidobolus ulisesi"
Equisetopsida,Sapindales,Anacardiaceae,"Mauria denticulata"
Reptilia,Serpentes,Dipsadidae,"Oxyrhopus marcapatae"
Reptilia,Sauria,Tropiduridae,"Stenocercus huancabambae"
Reptilia,Sauria,Gymnophthalmidae,"Proctoporus lacertus"
Equisetopsida,Apiales,Araliaceae,"Oreopanax candamoanus"
Reptilia,Sauria,Gymnophthalmidae,"Petracola ventrimaculatus"
Equisetopsida,Magnoliales,Annonaceae,"Guatteria modesta"
Reptilia,Sauria,Gymnophthalmidae,"Proctoporus unsaacae"
Reptilia,Sauria,Tropiduridae,"Stenocercus latebrosus"
Equisetopsida,Gentianales,Rubiaceae,"Cinchona micrantha"
Mammalia,Eulipotyphla,Soricidae,"Cryptotis peruviensis"
Equisetopsida,Ericales,Actinidiaceae,"Saurauia loeseneriana"
Mammalia,Eulipotyphla,Soricidae,"Cryptotis evaristoi"
Equisetopsida,Myrtales,Myrtaceae,"Psidium rutidocarpum"
Reptilia,Sauria,Sphaerodactylidae,"Pseudogonatodes barbouri"
Amphibia,Anura,Craugastoridae,"Pristimantis bustamante"
,,,
