Clase,Orden,Familia,Especie
Mammalia,Chiroptera,Phyllostomidae,"Vampyressa melissa"
Equisetopsida,Caryophyllales,Polygonaceae,"Triplaris gardneriana"
Aves,Columbiformes,Columbidae,"Zentrygon frenata"
Equisetopsida,Rosales,Urticaceae,"Urera caracasana"
Aves,Passeriformes,Thraupidae,"Tangara xanthocephala"
Aves,Passeriformes,Furnariidae,"Synallaxis maranonica"
Aves,Apodiformes,Apodidae,"Streptoprocne zonaris"
Mammalia,Chiroptera,Phyllostomidae,"Sturnira oporaphilum"
Mammalia,Rodentia,Cricetidae,"Thomasomys caudivarius"
Equisetopsida,Ericales,Styracaceae,"Styrax foveolaria"
Aves,Passeriformes,Furnariidae,"Xiphorhynchus triangularis"
Reptilia,Serpentes,Tropidophiidae,"Tropidophis taczanowskyi"
Aves,Passeriformes,Thraupidae,"Thraupis episcopus"
Equisetopsida,Caryophyllales,Polygonaceae,"Triplaris americana"
Mammalia,Rodentia,Cricetidae,"Thomasomys kalinowskii"
Equisetopsida,Crossosomatales,Staphyleaceae,"Turpinia occidentalis"
Aves,Passeriformes,Tyrannidae,"Todirostrum cinereum"
Aves,Passeriformes,Thraupidae,"Stilpnia cyanicollis"
Mammalia,Perissodactyla,Tapiridae,"Tapirus pinchaque"
Aves,Passeriformes,Turdidae,"Turdus fuscater"
Aves,Passeriformes,Turdidae,"Turdus serranus"
Aves,Passeriformes,Thraupidae,"Stilpnia viridicollis"
Equisetopsida,Gleicheniales,Gleicheniaceae,"Sticherus tomentosus"
Aves,Apodiformes,Trochilidae,"Uranomitra franciae"
Aves,Passeriformes,Thraupidae,"Thlypopsis ornata"
Aves,Passeriformes,Turdidae,"Turdus chiguanco"
Equisetopsida,Myrtales,Vochysiaceae,"Vochysia mapirensis"
Equisetopsida,Asterales,Asteraceae,"Vernonanthura cordata"
Equisetopsida,Oxalidales,Cunoniaceae,"Weinmannia lechleriana"
Aves,Passeriformes,Tyrannidae,"Zimmerius chrysops"
Aves,Passeriformes,Turdidae,"Turdus fulviventris"
Aves,Passeriformes,Thraupidae,"Tangara cyanotis"
Equisetopsida,Gleicheniales,Gleicheniaceae,"Sticherus revolutus"
Aves,Passeriformes,Thraupidae,"Tangara chilensis"
Equisetopsida,Dipsacales,Caprifoliaceae,"Valeriana pilosa"
Mammalia,Rodentia,Cricetidae,"Thomasomys taczanowskii"
Aves,Tinamiformes,Tinamidae,"Tinamus tao"
Equisetopsida,Malpighiales,Hypericaceae,"Vismia baccifera"
Aves,Passeriformes,Troglodytidae,"Troglodytes solstitialis"
Aves,Passeriformes,Thraupidae,"Tangara vassorii"
Aves,Caprimulgiformes,Caprimulgidae,"Systellura longirostris"
Aves,Passeriformes,Furnariidae,"Xenops rutilans"
Equisetopsida,Rosales,Cannabaceae,"Trema micranthum"
Equisetopsida,Oxalidales,Cunoniaceae,"Weinmannia elliptica"
Equisetopsida,Oxalidales,Cunoniaceae,"Weinmannia cymbifolia"
Reptilia,Serpentes,Dipsadidae,"Tachymenis peruviana"
Aves,Passeriformes,Furnariidae,"Synallaxis unirufa"
Equisetopsida,Oxalidales,Cunoniaceae,"Weinmannia jelskii"
Mammalia,Cetartiodactyla,Tayassuidae,"Tayassu pecari"
Aves,Passeriformes,Furnariidae,"Thripadectes melanorhynchus"
Aves,Pelecaniformes,Threskiornithidae,"Theristicus melanopis"
Equisetopsida,Sapindales,Rutaceae,"Zanthoxylum melanostictum"
Equisetopsida,Sapindales,Anacardiaceae,"Toxicodendron striatum"
Equisetopsida,Myrtales,Combretaceae,"Terminalia oblonga"
Aves,Passeriformes,Furnariidae,"Thripadectes holostictus"
Equisetopsida,Malvales,Malvaceae,"Triumfetta calycina"
Mammalia,Carnivora,Ursidae,"Tremarctos ornatus"
Equisetopsida,Malpighiales,Euphorbiaceae,"Tetrorchidium macrophyllum"
Equisetopsida,Malpighiales,Euphorbiaceae,"Tetrorchidium rubrivenium"
Equisetopsida,Ericales,Pentaphylacaceae,"Ternstroemia killipiana"
Aves,Cathartiformes,Cathartidae,"Vultur gryphus"
Aves,Passeriformes,Thraupidae,"Thlypopsis inornata"
Aves,Passeriformes,Furnariidae,"Syndactyla rufosuperciliata"
Aves,Passeriformes,Furnariidae,"Xiphocolaptes promeropirhynchus"
Equisetopsida,Sapindales,Anacardiaceae,"Tapirira guianensis"
Aves,Passeriformes,Tyrannidae,"Tyrannus melancholicus"
Aves,Trogoniformes,Trogonidae,"Trogon personatus"
Mammalia,Chiroptera,Phyllostomidae,"Sturnira aratathomasi"
Aves,Passeriformes,Thraupidae,"Thraupis palmarum"
Equisetopsida,Lamiales,Bignoniaceae,"Tabebuia ochracea"
Mammalia,Pilosa,Myrmecophagidae,"Tamandua tetradactyla"
Equisetopsida,Ericales,Pentaphylacaceae,"Ternstroemia pachytrocha"
Equisetopsida,Gleicheniales,Gleicheniaceae,"Sticherus simplex"
Equisetopsida,Ericales,Symplocaceae,"Symplocos melanochroa"
Aves,Strigiformes,Tytonidae,"Tyto alba"
Aves,Passeriformes,Vireonidae,"Vireo olivaceus"
Aves,Passeriformes,Thraupidae,"Tangara parzudakii"
Aves,Passeriformes,Thraupidae,"Tachyphonus rufus"
Aves,Passeriformes,Thraupidae,"Volatinia jacarina"
Equisetopsida,Myrtales,Vochysiaceae,"Vochysia lehmannii"
Aves,Apodiformes,Apodidae,"Streptoprocne rutila"
Aves,Passeriformes,Troglodytidae,"Troglodytes aedon"
Mammalia,Chiroptera,Phyllostomidae,"Sturnira erythromos"
Aves,Pelecaniformes,Ardeidae,"Tigrisoma fasciatum"
Aves,Caprimulgiformes,Caprimulgidae,"Uropsalis segmentata"
Equisetopsida,Sapindales,Rutaceae,"Zanthoxylum culantrillo"
Equisetopsida,Malpighiales,Hypericaceae,"Vismia pozuzoensis"
Aves,Passeriformes,Thraupidae,"Tephrospilus wetmorei"
Mammalia,Lagomorpha,Leporidae,"Sylvilagus brasiliensis"
Aves,Passeriformes,Passerellidae,"Zonotrichia capensis"
Aves,Passeriformes,Thraupidae,"Tangara nigroviridis"
Aves,Passeriformes,Thamnophilidae,"Thamnophilus tenuepunctatus"
