Clase,Orden,Familia,Especie,endemica,amenazada
Mammalia,Chiroptera,Phyllostomidae,Vampyressa melissa,FALSE,TRUE
Equisetopsida,Caryophyllales,Polygonaceae,Triplaris gardneriana,FALSE,FALSE
Aves,Columbiformes,Columbidae,Zentrygon frenata,FALSE,FALSE
Equisetopsida,Rosales,Urticaceae,Urera caracasana,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Tangara xanthocephala,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Synallaxis maranonica,FALSE,TRUE
Aves,Apodiformes,Apodidae,Streptoprocne zonaris,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Sturnira oporaphilum,FALSE,FALSE
Mammalia,Rodentia,Cricetidae,Thomasomys caudivarius,FALSE,TRUE
Equisetopsida,Ericales,Styracaceae,Styrax foveolaria,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Xiphorhynchus triangularis,FALSE,FALSE
Reptilia,Serpentes,Tropidophiidae,Tropidophis taczanowskyi,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Thraupis episcopus,FALSE,FALSE
Equisetopsida,Caryophyllales,Polygonaceae,Triplaris americana,FALSE,FALSE
Mammalia,Rodentia,Cricetidae,Thomasomys kalinowskii,TRUE,TRUE
Equisetopsida,Crossosomatales,Staphyleaceae,Turpinia occidentalis,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Todirostrum cinereum,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Stilpnia cyanicollis,FALSE,FALSE
Mammalia,Perissodactyla,Tapiridae,Tapirus pinchaque,FALSE,TRUE
Aves,Passeriformes,Turdidae,Turdus fuscater,FALSE,FALSE
Aves,Passeriformes,Turdidae,Turdus serranus,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Stilpnia viridicollis,FALSE,FALSE
Equisetopsida,Gleicheniales,Gleicheniaceae,Sticherus tomentosus,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Uranomitra franciae,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Thlypopsis ornata,FALSE,FALSE
Aves,Passeriformes,Turdidae,Turdus chiguanco,FALSE,FALSE
Equisetopsida,Myrtales,Vochysiaceae,Vochysia mapirensis,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Vernonanthura cordata,FALSE,FALSE
Equisetopsida,Oxalidales,Cunoniaceae,Weinmannia lechleriana,FALSE,FALSE
