Clase,Orden,Familia,Especie
Aves,Passeriformes,Furnariidae,"Synallaxis zimmeri"
Aves,Passeriformes,Furnariidae,"Synallaxis courseni"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum inamoenum"
Aves,Apodiformes,Trochilidae,"Metallura eupogon"
Equisetopsida,Lamiales,Lamiaceae,"Salvia cyanicalyx"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum philippii"
Equisetopsida,Fabales,Polygalaceae,"Monnina vargasii"
Equisetopsida,Fabales,Fabaceae,"Lupinus ampaiensis"
Equisetopsida,Piperales,Piperaceae,"Piper paraisense"
Aves,Passeriformes,Passerellidae,"Atlapetes forbesi"
Equisetopsida,Asterales,Asteraceae,"Mikania filicifolia"
Equisetopsida,Cornales,Loasaceae,"Nasa limata"
Aves,Passeriformes,Thraupidae,"Poospizopsis caesar"
Equisetopsida,Ericales,Primulaceae,"Myrsine weberbaueri"
Equisetopsida,Lamiales,Lamiaceae,"Stachys peruviana"
Equisetopsida,Cornales,Loasaceae,"Nasa vargasii"
Equisetopsida,Asparagales,Orchidaceae,"Masdevallia veitchiana"
Equisetopsida,Asparagales,Orchidaceae,"Oncidium retusum"
Aves,Passeriformes,Furnariidae,"Cranioleuca albicapilla"
Equisetopsida,Caryophyllales,Caryophyllaceae,"Paronychia andina"
Equisetopsida,Cornales,Loasaceae,"Caiophora madrequisa"
Aves,Passeriformes,Furnariidae,"Asthenes ottonis"
Aves,Apodiformes,Trochilidae,"Metallura phoebe"
Equisetopsida,Apiales,Araliaceae,"Oreopanax apurimacensis"
Aves,Apodiformes,Trochilidae,"Oreonympha nobilis"
Aves,Passeriformes,Rhinocryptidae,"Scytalopus acutirostris"
Equisetopsida,Asterales,Asteraceae,"Senecio ferreyrae"
Equisetopsida,Oxalidales,Oxalidaceae,"Oxalis picchensis"
Aves,Passeriformes,Furnariidae,"Asthenes virgata"
Equisetopsida,Asparagales,Orchidaceae,"Masdevallia barlaeana"
Equisetopsida,Oxalidales,Oxalidaceae,"Oxalis apurimacensis"
Equisetopsida,Asterales,Asteraceae,"Gynoxys caracensis"
Equisetopsida,Fabales,Fabaceae,"Lupinus tetracercophorus"
Aves,Apodiformes,Trochilidae,"Elliotomyia viridicauda"
Equisetopsida,Liliales,Alstroemeriaceae,"Bomarea ampayesana"
Equisetopsida,Myrtales,Myrtaceae,"Myrcianthes oreophila"
Equisetopsida,Asterales,Asteraceae,"Baccharis kingii"
Equisetopsida,Solanales,Solanaceae,"Solanum hispidum"
Aves,Passeriformes,Rhinocryptidae,"Scytalopus urubambae"
Mammalia,Chiroptera,Phyllostomidae,"Gardnerycteris koepckeae"
Aves,Passeriformes,Rhinocryptidae,"Scytalopus whitneyi"
Equisetopsida,Caryophyllales,Cactaceae,"Cleistocactus pungens"
Equisetopsida,Solanales,Solanaceae,"Solanum hispidum var. cerrateae"
Aves,Apodiformes,Trochilidae,"Aglaeactis castelnaudii"
Equisetopsida,Lamiales,Calceolariaceae,"Calceolaria glauca"
Equisetopsida,Asterales,Asteraceae,"Mutisia venusta"
Mammalia,Rodentia,Cricetidae,"Calomys sorellus"
,,,
