Clase,Orden,Familia,Especie,endemica,amenazada
Equisetopsida,Oxalidales,Elaeocarpaceae,Vallea stipularis,FALSE,FALSE
Aves,Charadriiformes,Charadriidae,Vanellus resplendens,FALSE,FALSE
Aves,Strigiformes,Tytonidae,Tyto alba,FALSE,FALSE
Aves,Charadriiformes,Thinocoridae,Thinocorus orbignyianus,FALSE,FALSE
Equisetopsida,Rosales,Urticaceae,Urtica urens,FALSE,FALSE
Aves,Passeriformes,Turdidae,Turdus fuscater,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Verbesina arborea,FALSE,FALSE
Aves,Passeriformes,Turdidae,Turdus chiguanco,FALSE,FALSE
Equisetopsida,Lamiales,Plantaginaceae,Veronica anagallis,FALSE,FALSE
Equisetopsida,Dipsacales,Viburnaceae,Viburnum hallii,FALSE,FALSE
Equisetopsida,Rosales,Urticaceae,Urtica magellanica,FALSE,FALSE
Aves,Apodiformes,Apodidae,Streptoprocne zonaris,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Upucerthia validirostris,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Werneria nubigena,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Vicia graminea,FALSE,FALSE
Equisetopsida,Brassicales,Tropaeolaceae,Tropaeolum peregrinum,FALSE,FALSE
Equisetopsida,Malpighiales,Violaceae,Viola pygmaea,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Synallaxis zimmeri,TRUE,TRUE
Aves,Columbiformes,Columbidae,Zenaida auriculata,FALSE,FALSE
Equisetopsida,Oxalidales,Cunoniaceae,Weinmannia producta,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Telipogon bowmanii,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Tagetes filifolia,FALSE,FALSE
Aves,Caprimulgiformes,Caprimulgidae,Systellura longirostris,FALSE,FALSE
Aves,Passeriformes,Passerellidae,Zonotrichia capensis,FALSE,FALSE
