Clase,Orden,Familia,Especie
Aves,Passeriformes,Turdidae,"Turdus fuscater"
Aves,Caprimulgiformes,Caprimulgidae,"Systellura longirostris"
Aves,Cathartiformes,Cathartidae,"Vultur gryphus"
Aves,Passeriformes,Passerellidae,"Zonotrichia capensis"
Aves,Passeriformes,Turdidae,"Turdus chiguanco"
Aves,Columbiformes,Columbidae,"Zenaida meloda"
Aves,Passeriformes,Troglodytidae,"Troglodytes aedon"
Aves,Charadriiformes,Charadriidae,"Vanellus resplendens"
Aves,Tinamiformes,Tinamidae,"Nothoprocta ornata"
Equisetopsida,Fabales,Fabaceae,"Lupinus weberbaueri"
Mammalia,Carnivora,Mustelidae,"Neogale frenata"
Aves,Passeriformes,Thraupidae,"Rhopospina alaudina"
Aves,Passeriformes,Furnariidae,"Cinclodes atacamensis"
Equisetopsida,Asterales,Asteraceae,"Cronquistianthus lavandulifolius"
Aves,Psittaciformes,Psittacidae,"Psittacara wagleri"
Aves,Passeriformes,Thraupidae,"Catamenia analis"
Aves,Passeriformes,Tyrannidae,"Muscisaxicola rufivertex"
Aves,Falconiformes,Falconidae,"Phalcoboenus megalopterus"
Aves,Tinamiformes,Tinamidae,"Nothoprocta pentlandii"
Mammalia,Carnivora,Canidae,"Lycalopex (Pseudalopex) culpaeus"
Aves,Cathartiformes,Cathartidae,"Cathartes aura"
Equisetopsida,Lamiales,Calceolariaceae,"Calceolaria bicrenata"
Aves,Passeriformes,Furnariidae,"Geositta tenuirostris"
Aves,Apodiformes,Trochilidae,"Patagona gigas"
Equisetopsida,Lamiales,Lamiaceae,"Clinopodium weberbaueri"
Equisetopsida,Caryophyllales,Caryophyllaceae,"Plettkea cryptantha"
Aves,Passeriformes,Tyrannidae,"Agriornis montanus"
Equisetopsida,Lamiales,Lamiaceae,"Clinopodium speciosum"
Equisetopsida,Lamiales,Calceolariaceae,"Calceolaria linearis"
Aves,Passeriformes,Thraupidae,"Conirostrum cinereum"
Equisetopsida,Lamiales,Calceolariaceae,"Calceolaria hispida"
Aves,Passeriformes,Furnariidae,"Leptasthenura pileata"
Aves,Passeriformes,Furnariidae,"Cinclodes albiventris"
Equisetopsida,Lamiales,Lamiaceae,"Clinopodium sericifolium"
Aves,Apodiformes,Trochilidae,"Lesbia nuna"
Aves,Passeriformes,Thraupidae,"Sicalis uropygialis"
Aves,Passeriformes,Thraupidae,"Catamenia inornata"
Aves,Passeriformes,Furnariidae,"Geocerthia serrana"
Aves,Passeriformes,Thraupidae,"Rhipospina fruticeti"
Aves,Apodiformes,Trochilidae,"Colibri coruscans"
Equisetopsida,Poales,Bromeliaceae,"Puya raimondii"
Aves,Passeriformes,Furnariidae,"Leptasthenura striata"
Mammalia,Carnivora,Felidae,"Puma concolor"
Aves,Charadriiformes,Scolopacidae,"Gallinago andina"
Equisetopsida,Asterales,Asteraceae,"Proustia berberidifolia"
Aves,Piciformes,Picidae,"Colaptes rupicola"
Aves,Apodiformes,Trochilidae,"Oreotrochilus estella"
Aves,Passeriformes,Hirundinidae,"Orochelidon murina"
Aves,Passeriformes,Passerellidae,"Atlapetes seebohmi"
Aves,Passeriformes,Tyrannidae,"Ochthoeca leucophrys"
Equisetopsida,Saxifragales,Crassulaceae,"Sedum reniforme"
Aves,Passeriformes,Furnariidae,"Asthenes dorbignyi"
Equisetopsida,Lamiales,Lamiaceae,"Salvia grisea"
Aves,Passeriformes,Furnariidae,"Cinclodes palliatus"
Aves,Falconiformes,Falconidae,"Falco femoralis"
Aves,Passeriformes,Thraupidae,"Geospizopsis plebejus"
Aves,Passeriformes,Thraupidae,"Pipraeidea melanonota"
Aves,Passeriformes,Fringillidae,"Spinus magellanicus"
Aves,Apodiformes,Trochilidae,"Polyonymus caroli"
Mammalia,Cetartiodactyla,Cervidae,"Odocoileus peruvianus"
Aves,Passeriformes,Fringillidae,"Spinus uropygialis"
Equisetopsida,Lamiales,Calceolariaceae,"Calceolaria weberbaueriana"
Aves,Accipitriformes,Accipitridae,"Geranoaetus melanoleucus"
Aves,Columbiformes,Columbidae,"Metriopelia melanoptera"
Aves,Passeriformes,Tyrannidae,"Agriornis albicauda"
Aves,Passeriformes,Thraupidae,"Incaspiza personata"
Aves,Passeriformes,Thraupidae,"Phrygilus punensis"
Aves,Passeriformes,Hirundinidae,"Orochelidon andecola"
Equisetopsida,Solanales,Solanaceae,"Salpichroa dependens"
Aves,Passeriformes,Tyrannidae,"Muscisaxicola juninensis"
Aves,Passeriformes,Thraupidae,"Geospizopsis unicolor"
Equisetopsida,Poales,Poaceae,"Eragrostis pilgeri"
Aves,Cathartiformes,Cathartidae,"Coragyps atratus"
Aves,Passeriformes,Thraupidae,"Diglossa brunneiventris"
Aves,Strigiformes,Strigidae,"Bubo virginianus"
Aves,Accipitriformes,Accipitridae,"Geranoaetus polyosoma"
Aves,Apodiformes,Trochilidae,"Metallura phoebe"
Equisetopsida,Lamiales,Calceolariaceae,"Calceolaria cajabambae"
Aves,Anseriformes,Anatidae,"Anas flavirostris"
Equisetopsida,Cornales,Loasaceae,"Nasa ranunculifolia"
Aves,Passeriformes,Tyrannidae,"Ochthoeca oenanthoides"
Aves,Falconiformes,Falconidae,"Falco sparverius"
,,,
