Clase,Orden,Familia,Especie
Equisetopsida,Polypodiales,Polypodiaceae,"Grammitis gracilis"
Aves,Apodiformes,Trochilidae,"Oreotrochilus melanogaster"
Aves,Passeriformes,Thraupidae,"Sicalis raimondii"
Aves,Passeriformes,Furnariidae,"Geositta saxicolina"
Aves,Passeriformes,Furnariidae,"Geocerthia serrana"
Aves,Passeriformes,Furnariidae,"Asthenes virgata"
Aves,Passeriformes,Furnariidae,"Geositta crassirostris"
Equisetopsida,Gentianales,Gentianaceae,"Gentianella thyrsoidea"
Reptilia,Sauria,Liolaemidae,"Liolaemus robustus"
Equisetopsida,Gentianales,Gentianaceae,"Gentianella incurva"
,,,
