Clase,Orden,Familia,Especie
Aves,Passeriformes,Grallariidae,"Grallaria andicolus"
Aves,Passeriformes,Furnariidae,"Cinclodes atacamensis"
Aves,Accipitriformes,Accipitridae,"Parabuteo unicinctus"
Equisetopsida,Poales,Poaceae,"Poa calycina var. calycina"
Aves,Passeriformes,Tyrannidae,"Muscisaxicola cinereus"
Mammalia,Cetartiodactyla,Cervidae,"Odocoileus peruvianus"
Equisetopsida,Dicranales,Dicranaceae,"Campylopus fragilis"
Aves,Passeriformes,Tyrannidae,"Muscisaxicola alpinus"
Equisetopsida,Bartramiales,Bartramiaceae,"Philonotis scabrifolia"
Equisetopsida,Poales,Poaceae,"Cinnagrostis vicunarum"
Aves,Passeriformes,Hirundinidae,"Hirundo rustica"
Aves,Accipitriformes,Accipitridae,"Circus cinereus"
Aves,Passeriformes,Tyrannidae,"Muscisaxicola albilora"
Equisetopsida,Poales,Juncaceae,"Luzula racemosa"
Aves,Apodiformes,Trochilidae,"Oreotrochilus estella"
Aves,Anseriformes,Anatidae,"Anas flavirostris"
Mammalia,Carnivora,Felidae,"Puma concolor"
Aves,Passeriformes,Fringillidae,"Spinus uropygialis"
Mammalia,Carnivora,Felidae,"Leopardus garleppi"
Aves,Passeriformes,Tyrannidae,"Muscisaxicola albifrons"
Equisetopsida,Poales,Poaceae,"Festuca dolichophylla"
Equisetopsida,Polypodiales,Polypodiaceae,"Grammitis gracilis"
Aves,Columbiformes,Columbidae,"Metriopelia melanoptera"
Aves,Passeriformes,Thraupidae,"Sicalis olivascens"
Aves,Apodiformes,Trochilidae,"Oreotrochilus melanogaster"
Mammalia,Carnivora,Felidae,"Leopardus jacobitus"
Aves,Passeriformes,Thraupidae,"Sicalis uropygialis"
Aves,Accipitriformes,Accipitridae,"Geranoaetus polyosoma"
Equisetopsida,Asterales,Asteraceae,"Parastrephia lucida"
Equisetopsida,Poales,Poaceae,"Poa serpana"
Aves,Passeriformes,Thraupidae,"Sicalis raimondii"
Aves,Passeriformes,Thraupidae,"Catamenia inornata"
Aves,Passeriformes,Thraupidae,"Idiopsar speculiger"
Aves,Passeriformes,Tyrannidae,"Ochthoeca oenanthoides"
Aves,Passeriformes,Furnariidae,"Geositta cunicularia"
Aves,Anseriformes,Anatidae,"Oressochen melanopterus"
Aves,Tinamiformes,Tinamidae,"Nothoprocta pentlandii"
Aves,Passeriformes,Thraupidae,"Geospizopsis plebejus"
Equisetopsida,Poales,Poaceae,"Agrostis breviculmis"
Aves,Passeriformes,Furnariidae,"Geositta saxicolina"
Aves,Passeriformes,Furnariidae,"Geocerthia serrana"
Equisetopsida,Poales,Poaceae,"Aciachne pulvinata"
Aves,Anseriformes,Anatidae,"Lophonetta specularioides"
Mammalia,Rodentia,Caviidae,"Cavia tschudii"
Equisetopsida,Hypnales,Lepyrodontaceae,"Lepyrodon tomentosus"
Aves,Passeriformes,Tyrannidae,"Muscisaxicola rufivertex"
Equisetopsida,Dicranales,Dicranaceae,"Cynodontium erosum"
Equisetopsida,Poales,Poaceae,"Hordeum muticum"
Equisetopsida,Poales,Cyperaceae,"Carex ecuadorica"
Aves,Charadriiformes,Laridae,"Chroicocephalus serranus"
Aves,Anseriformes,Anatidae,"Anas georgica"
Aves,Passeriformes,Furnariidae,"Asthenes wyatti"
Aves,Passeriformes,Thraupidae,"Phrygilus punensis"
Aves,Anseriformes,Anatidae,"Oxyura jamaicensis"
Aves,Podicipediformes,Podicipedidae,"Rollandia rolland"
Aves,Passeriformes,Thraupidae,"Geospizopsis unicolor"
Aves,Passeriformes,Furnariidae,"Asthenes virgata"
Aves,Passeriformes,Fringillidae,"Spinus atratus"
Mammalia,Cetartiodactyla,Camelidae,"Lama guanicoe"
Equisetopsida,Poales,Poaceae,"Muhlenbergia ligularis"
Aves,Passeriformes,Thraupidae,"Phrygilus atriceps"
Aves,Falconiformes,Falconidae,"Falco femoralis"
Equisetopsida,Poales,Poaceae,"Poa macusaniensis"
Aves,Piciformes,Picidae,"Colaptes rupicola"
Mammalia,Rodentia,Cricetidae,"Auliscomys boliviensis"
Equisetopsida,Asterales,Asteraceae,"Paranephelius bullatus"
Mammalia,Rodentia,Cricetidae,"Calomys lepidus"
Aves,Passeriformes,Tyrannidae,"Lessonia oreas"
Equisetopsida,Poales,Poaceae,"Nassella depauperata"
Aves,Passeriformes,Tyrannidae,"Agriornis montanus"
Mammalia,Carnivora,Canidae,"Lycalopex (Pseudalopex) culpaeus"
Aves,Anseriformes,Anatidae,"Spatula puna"
Aves,Passeriformes,Motacillidae,"Anthus correndera"
Aves,Passeriformes,Fringillidae,"Spinus magellanicus"
Aves,Gruiformes,Rallidae,"Gallinula galeata"
Mammalia,Rodentia,Cricetidae,"Necromys amoenus"
Equisetopsida,Hypnales,Fabroniaceae,"Fabronia jamesonii"
Aves,Passeriformes,Furnariidae,"Geositta crassirostris"
Mammalia,Cetartiodactyla,Cervidae,"Hippocamelus antisensis"
Aves,Phoenicopteriformes,Phoenicopteridae,"Phoenicopterus chilensis"
Aves,Passeriformes,Hirundinidae,"Orochelidon andecola"
Aves,Passeriformes,Furnariidae,"Geositta tenuirostris"
Aves,Podicipediformes,Podicipedidae,"Podiceps occipitalis"
Aves,Charadriiformes,Scolopacidae,"Calidris mauri"
Equisetopsida,Dicranales,Ditrichaceae,"Flexitrichum flexicaule"
Aves,Gruiformes,Rallidae,"Fulica gigantea"
