Clase,Orden,Familia,Especie
Equisetopsida,Poales,Cyperaceae,"Cyperus compressus"
Aves,Anseriformes,Anatidae,"Anas bahamensis"
Equisetopsida,Fabales,Fabaceae,"Neltuma chilensis"
Aves,Ciconiiformes,Ciconiidae,"Mycteria americana"
Actinopterygii,Perciformes,Serranidae,"Paralabrax humeralis"
Actinopterygii,Perciformes,Serranidae,"Mycteroperca xenarcha"
Aves,Passeriformes,Icteridae,"Dives warczewiczi"
Equisetopsida,Poales,Poaceae,"Distichlis spicata"
Actinopterygii,Siluriformes,Heptapteridae,"Pimelodella elongata"
Aves,Columbiformes,Columbidae,"Patagioenas plumbea"
Aves,Passeriformes,Tyrannidae,"Myiarchus phaeocephalus"
Equisetopsida,Rosales,Rhamnaceae,"Scutia spicata"
Aves,Passeriformes,Thraupidae,"Piezorina cinerea"
Actinopterygii,Perciformes,Serranidae,"Diplectrum pacificum"
Equisetopsida,Lamiales,Plantaginaceae,"Scoparia dulcis"
Equisetopsida,Lamiales,Acanthaceae,"Avicennia germinans"
Actinopterygii,Perciformes,Gobiidae,"Awaous banana"
Aves,Anseriformes,Anatidae,"Spatula cyanoptera"
Equisetopsida,Lamiales,Martyniaceae,"Proboscidea althaeifolia"
Actinopterygii,'-,Haemulidae,"Genyatremus pacifici"
Aves,Columbiformes,Columbidae,"Columba livia"
Aves,Accipitriformes,Pandionidae,"Pandion haliaetus"
Aves,Passeriformes,Thraupidae,"Sporophila peruviana"
Aves,Columbiformes,Columbidae,"Columbina cruziana"
Mammalia,Carnivora,Procyonidae,"Procyon cancrivorus"
Actinopterygii,Perciformes,Sciaenidae,"Menticirrhus nasus"
Aves,Passeriformes,Tyrannidae,"Euscarthmus fulviceps"
Aves,Pelecaniformes,Ardeidae,"Nycticorax nycticorax"
Aves,Passeriformes,Hirundinidae,"Progne chalybea"
Aves,Passeriformes,Tyrannidae,"Pyrocephalus rubinus"
Aves,Piciformes,Capitonidae,"Capito auratus"
Mammalia,Carnivora,Mephitidae,"Conepatus chinga"
Actinopterygii,Anguilliformes,Ophichthidae,"Myrophis vafer"
Aves,Passeriformes,Troglodytidae,"Cantorchilus superciliaris"
Aves,Piciformes,Picidae,"Colaptes rubiginosus"
Aves,Accipitriformes,Accipitridae,"Gampsonyx swainsonii"
Aves,Pelecaniformes,Pelecanidae,"Pelecanus occidentalis"
Aves,Passeriformes,Furnariidae,"Lepidocolaptes souleyetii"
Aves,Charadriiformes,Haematopodidae,"Haematopus palliatus"
Actinopterygii,'-,Haemulidae,"Rhencus panamensis"
Aves,Passeriformes,Troglodytidae,"Campylorhynchus fasciatus"
Equisetopsida,Myrtales,Combretaceae,"Conocarpus erectus"
Aves,Charadriiformes,Scolopacidae,"Limosa fedoa"
Aves,Passeriformes,Icteridae,"Molothrus bonariensis"
Actinopterygii,'-,Haemulidae,"Haemulopsis leuciscus"
Actinopterygii,'-,Centropomidae,"Centropomus nigrescens"
Actinopterygii,'-,Centropomidae,"Centropomus robalito"
Actinopterygii,'-,Centropomidae,"Centropomus unionensis"
Aves,Charadriiformes,Scolopacidae,"Limnodromus griseus"
Aves,Passeriformes,Tyrannidae,"Contopus cinereus"
Aves,Passeriformes,Tyrannidae,"Camptostoma obsoletum"
Actinopterygii,'-,Haemulidae,"Haemulopsis nitida"
Aves,Accipitriformes,Accipitridae,"Spizaetus ornatus"
Actinopterygii,Pleuronectiformes,Paralichthyidae,"Citharichthys gilberti"
Aves,Charadriiformes,Laridae,"Sterna hirundinacea"
Actinopterygii,Clupeiformes,Clupeidae,"Lile stolifera"
Equisetopsida,Malpighiales,Rhizophoraceae,"Rhizophora harrisonii"
Equisetopsida,Malpighiales,Rhizophoraceae,"Rhizophora mangle"
Aves,Piciformes,Picidae,"Campephilus gayaquilensis"
Equisetopsida,Poales,Poaceae,"Leptochloa anisopoda"
Aves,Accipitriformes,Accipitridae,"Spizaetus tyrannus"
Equisetopsida,Poales,Poaceae,"Leptochloa mucronata"
Equisetopsida,Poales,Poaceae,"Panicum molle"
Aves,Cathartiformes,Cathartidae,"Coragyps atratus"
Actinopterygii,Perciformes,Labridae,"Halichoeres dispilus"
Actinopterygii,Acanthuriformes,Chaetodontidae,"Chaetodon humeralis"
Equisetopsida,Lamiales,Cordiaceae,"Cordia lutea"
Actinopterygii,Mugiliformes,Mugilidae,"Mugil cephalus"
Aves,Passeriformes,Passerellidae,"Rhynchospiza stolzmanni"
Aves,Gruiformes,Rallidae,"Porzana carolina"
Aves,Gruiformes,Rallidae,"Porphyrio martinica"
Actinopterygii,Cichliformes,Cichlidae,"Cichlasoma festae"
Aves,Charadriiformes,Charadriidae,"Charadrius collaris"
Aves,Passeriformes,Icteridae,"Leistes bellicosus"
Aves,Charadriiformes,Charadriidae,"Charadrius semipalmatus"
Aves,Caprimulgiformes,Caprimulgidae,"Nyctidromus albicollis"
Aves,Nyctibiiformes,Nyctibiidae,"Nyctibius griseus"
Aves,Passeriformes,Thraupidae,"Poospiza hispaniolensis"
Equisetopsida,Asterales,Asteraceae,"Cosmos caudatus"
Aves,Charadriiformes,Charadriidae,"Charadrius wilsonia"
Actinopterygii,Mugiliformes,Mugilidae,"Mugil curema"
Actinopterygii,Pleuronectiformes,Achiridae,"Achirus scutum"
Actinopterygii,'-,Haemulidae,"Pomadasys schyrii"
Actinopterygii,Acanthuriformes,Pomacanthidae,"Pomacanthus zonipectus"
Actinopterygii,Pleuronectiformes,Achiridae,"Achirus klunzingeri"
Aves,Charadriiformes,Scolopacidae,"Calidris minutilla"
Actinopterygii,Pleuronectiformes,Achiridae,"Achirus fluviatilis"
Actinopterygii,Characiformes,Lebiasinidae,"Lebiasina bimaculata"
Elasmobranchii,Rhinopristiformes,Rhinobatidae,"Pseudobatos planiceps"
Aves,Charadriiformes,Laridae,"Leucophaeus pipixcan"
Aves,Charadriiformes,Scolopacidae,"Calidris mauri"
Aves,Charadriiformes,Scolopacidae,"Calidris canutus"
Aves,Charadriiformes,Scolopacidae,"Calidris alba"
Aves,Charadriiformes,Laridae,"Leucophaeus modestus"
Equisetopsida,Solanales,Convolvulaceae,"Cressa nudicaulis"
Aves,Passeriformes,Polioptilidae,"Polioptila plumbea"
Aves,Charadriiformes,Laridae,"Chroicocephalus cirrocephalus"
Aves,Charadriiformes,Laridae,"Chlidonias niger"
Aves,Columbiformes,Columbidae,"Leptotila verreauxi"
Aves,Anseriformes,Anatidae,"Spatula discors"
Aves,Charadriiformes,Laridae,"Leucophaeus atricilla"
Aves,Caprimulgiformes,Caprimulgidae,"Chordeiles acutipennis"
Aves,Apodiformes,Trochilidae,"Amazilia amazilia"
Equisetopsida,Poales,Poaceae,"Chloris halophila"
Actinopterygii,Tetraodontiformes,Tetraodontidae,"Sphoeroides annulatus"
Equisetopsida,Poales,Poaceae,"Chloris radiata"
Aves,Psittaciformes,Psittacidae,"Psittacara erythrogenys"
Actinopterygii,Tetraodontiformes,Tetraodontidae,"Sphoeroides lobatus"
Equisetopsida,Santalales,Loranthaceae,"Psittacanthus divaricatus"
Equisetopsida,Asterales,Asteraceae,"Pectis multiflosculosa"
Aves,Cuculiformes,Cuculidae,"Crotophaga ani"
Aves,Coraciiformes,Alcedinidae,"Chloroceryle americana"
Aves,Apodiformes,Trochilidae,"Myrmia micrura"
Aves,Passeriformes,Furnariidae,"Furnarius leucopus"
Aves,Charadriiformes,Laridae,"Larus dominicanus"
Aves,Cuculiformes,Cuculidae,"Crotophaga sulcirostris"
Aves,Charadriiformes,Scolopacidae,"Actitis macularius"
Aves,Pelecaniformes,Ardeidae,"Nyctanassa violacea"
Actinopterygii,Carangiformes,Carangidae,"Chloroscombrus orqueta"
Equisetopsida,Fabales,Fabaceae,"Leucaena leucocephala"
Aves,Charadriiformes,Scolopacidae,"Numenius phaeopus"
Actinopterygii,Cichliformes,Cichlidae,"Geophagus steindachneri"
Aves,Suliformes,Anhingidae,"Anhinga anhinga"
Equisetopsida,Poales,Poaceae,"Anthephora hermaphrodita"
Aves,Pelecaniformes,Threskiornithidae,"Eudocimus albus"
Aves,Suliformes,Fregatidae,"Fregata magnificens"
Aves,Tinamiformes,Tinamidae,"Crypturellus transfasciatus"
Aves,Charadriiformes,Charadriidae,"Pluvialis squatarola"
Actinopterygii,Gobiiformes,Gobiidae,"Ctenogobius sagittula"
Aves,Passeriformes,Hirundinidae,"Hirundo rustica"
Equisetopsida,Cucurbitales,Cucurbitaceae,"Cucumis anguria"
Actinopterygii,'-,Lutjanidae,"Lutjanus argentiventris"
Actinopterygii,'-,Lutjanidae,"Lutjanus guttatus"
Actinopterygii,'-,Lutjanidae,"Lutjanus novemfasciatus"
Aves,Pelecaniformes,Ardeidae,"Butorides striata"
Actinopterygii,Pleuronectiformes,Paralichthyidae,"Etropus ectenes"
Actinopterygii,'-,Clupeidae,"Ethmidium maculatum"
Aves,Tinamiformes,Tinamidae,"Nothoprocta pentlandii"
Aves,Accipitriformes,Accipitridae,"Buteo swainsoni"
Equisetopsida,Lamiales,Verbenaceae,"Lantana svensonii"
Equisetopsida,Lamiales,Verbenaceae,"Lantana sprucei"
Aves,Psittaciformes,Psittacidae,"Forpus coelestis"
Aves,Accipitriformes,Accipitridae,"Buteogallus meridionalis"
Aves,Passeriformes,Corvidae,"Cyanocorax mystacalis"
Aves,Accipitriformes,Accipitridae,"Buteogallus anthracinus"
Aves,Accipitriformes,Accipitridae,"Buteo brachyurus"
Aves,Accipitriformes,Accipitridae,"Buteo albonotatus"
Equisetopsida,Solanales,Solanaceae,"Exodeconus maritimus"
Aves,Passeriformes,Furnariidae,"Geositta peruviana"
Aves,Accipitriformes,Accipitridae,"Busarellus nigricollis"
Aves,Charadriiformes,Laridae,"Gelochelidon nilotica"
Aves,Passeriformes,Passeridae,"Passer domesticus"
Equisetopsida,Fabales,Fabaceae,"Mimosa acantholoba"
Actinopterygii,Beloniformes,Hemiramphidae,"Hyporhamphus gilli"
Actinopterygii,Syngnathiformes,Syngnathidae,"Hippocampus ingens"
Aves,Charadriiformes,Rhynchopidae,"Rynchops niger"
Aves,Charadriiformes,Laridae,"Hydroprogne caspia"
Actinopterygii,Perciformes,Serranidae,"Ryticus saponaceus"
Actinopterygii,Siluriformes,Loricariidae,"Hemiancistrus landoni"
Equisetopsida,Solanales,Solanaceae,"Exodeconus prostratus"
Equisetopsida,Fabales,Fabaceae,"Parkinsonia aculeata"
Actinopterygii,Perciformes,Serranidae,"Alphestes multiguttatus"
Aves,Passeriformes,Tyrannidae,"Phaeomyias murina"
Actinopterygii,Scorpaenoidei,Triglidae,"Prionotus ruscarius"
Aves,Passeriformes,Thraupidae,"Hemithraupis guira"
Actinopterygii,Clupeiformes,Clupeidae,"Opisthonema libertate"
Aves,Passeriformes,Vireonidae,"Cyclarhis gujanensis"
Actinopterygii,Beloniformes,Hemiramphidae,"Hyporhamphus rosae"
Actinopterygii,Gobiiformes,Eleotridae,"Erotelis armiger"
Actinopterygii,Perciformes,Serranidae,"Hyporthodus niphobles"
Aves,Pelecaniformes,Ardeidae,"Bubulcus ibis"
Equisetopsida,Malvales,Malvaceae,"Eriotheca discolor"
Aves,Gruiformes,Rallidae,"Rallus longirostris"
Actinopterygii,Perciformes,Sciaenidae,"Ophioscion scierus"
Aves,Passeriformes,Tyrannidae,"Fluvicola nengeta"
Equisetopsida,Solanales,Convolvulaceae,"Ipomoea pes-caprae"
Actinopterygii,Anguilliformes,Ophichthidae,"Ophichthus remiger"
Aves,Cathartiformes,Cathartidae,"Cathartes aura"
Actinopterygii,Characiformes,Bryconidae,"Brycon dentex"
Actinopterygii,Characiformes,Bryconidae,"Brycon atrocaudatus"
Actinopterygii,Characiformes,Characidae,"Bryconamericus peruanus"
Actinopterygii,Characiformes,Characidae,"Bryconamericus brevirostris"
Mammalia,Carnivora,Canidae,"Lycalopex (Pseudalopex) sechurae"
Actinopterygii,Perciformes,Sciaenidae,"Cynoscion analis"
Actinopterygii,Perciformes,Sciaenidae,"Cynoscion phoxocephalus"
Actinopterygii,Gobiiformes,Eleotridae,"Dormitator latifrons"
Aves,Pelecaniformes,Threskiornithidae,"Platalea ajaja"
Equisetopsida,Poales,Cyperaceae,"Cyperus elegans"
Equisetopsida,Poales,Poaceae,"Eragrostis cilianensis"
Equisetopsida,Poales,Poaceae,"Eragrostis amabilis"
Aves,Charadriiformes,Recurvirostridae,"Himantopus mexicanus"
Aves,Passeriformes,Thraupidae,"Sporophila telasco"
Equisetopsida,Myrtales,Combretaceae,"Laguncularia racemosa"
Aves,Psittaciformes,Psittacidae,"Brotogeris pyrrhoptera"
Aves,Suliformes,Phalacrocoracidae,"Phalacrocorax brasilianus"
Equisetopsida,Poales,Poaceae,"Sporobolus pyramidatus"
Equisetopsida,Malpighiales,Salicaceae,"Salix humboldtiana"
Equisetopsida,Solanales,Solanaceae,"Lycium americanum"
Aves,Passeriformes,Mimidae,"Mimus longicaudatus"
Equisetopsida,Fabales,Fabaceae,"Pithecellobium excelsum"
Actinopterygii,Perciformes,Serranidae,"Epinephelus analogus"
Aves,Accipitriformes,Accipitridae,"Parabuteo unicinctus"
Actinopterygii,Carangiformes,Carangidae,"Oligoplites refulgens"
Actinopterygii,Carangiformes,Carangidae,"Oligoplites saurus"
Actinopterygii,Batrachoidiformes,Batrachoididae,"Aphos porosus"
Actinopterygii,Siluriformes,Ariidae,"Hexanematichthys henni"
Actinopterygii,Perciformes,Cichlidae,"Andinoacara rivulatus"
Actinopterygii,Perciformes,Pomacentridae,"Stegastes rectifraenum"
Equisetopsida,Malpighiales,Passifloraceae,"Passiflora foetida"
Aves,Gruiformes,Rallidae,"Aramides axillaris"
Aves,Accipitriformes,Accipitridae,"Geranoaetus polyosoma"
Equisetopsida,Poales,Poaceae,"Brachiaria fasciculata"
Mammalia,Rodentia,Sciuridae,"Simosciurus nebouxii"
Equisetopsida,Fabales,Fabaceae,"Piptadenia retusa"
Equisetopsida,Poales,Poaceae,"Bouteloua disticha"
Equisetopsida,Poales,Poaceae,"Bouteloua aristidoides"
Aves,Pelecaniformes,Ardeidae,"Ardea alba"
Aves,Passeriformes,Tyrannidae,"Muscigralla brevicauda"
Aves,Pelecaniformes,Ardeidae,"Ardea cocoi"
Aves,Falconiformes,Falconidae,"Falco peregrinus"
Aves,Passeriformes,Icteridae,"Icterus graceannae"
Actinopterygii,'-,Haemulidae,"Anisotremus interruptus"
Aves,Charadriiformes,Scolopacidae,"Arenaria interpres"
Equisetopsida,Poales,Cyperaceae,"Bolboschoenus maritimus"
Aves,Passeriformes,Thraupidae,"Sicalis taczanowskii"
Equisetopsida,Caryophyllales,Amaranthaceae,"Sarcocornia fruticosa"
Actinopterygii,Clupeiformes,Engraulidae,"Anchovia macrolepidota"
Aves,Anseriformes,Anatidae,"Dendrocygna autumnalis"
Actinopterygii,Clupeiformes,Engraulidae,"Anchoa panamensis"
Aves,Anseriformes,Anatidae,"Dendrocygna bicolor"
Actinopterygii,Clupeiformes,Engraulidae,"Anchoa nasus"
Actinopterygii,Clupeiformes,Engraulidae,"Anchoa lucida"
Equisetopsida,Caryophyllales,Cactaceae,"Armatocereus cartwrightianus"
Aves,Passeriformes,Icteridae,"Quiscalus mexicanus"
Actinopterygii,Clupeiformes,Engraulidae,"Anchoa curta"
Equisetopsida,Caryophyllales,Cactaceae,"Armatocereus lateus"
Actinopterygii,Elopiformes,Elopidae,"Elops affinis"
Aves,Passeriformes,Thraupidae,"Sicalis flaveola"
Actinopterygii,Scombriformes,Scombridae,"Sarda chiliensis"
Aves,Accipitriformes,Accipitridae,"Geranospiza caerulescens"
Aves,Anseriformes,Anatidae,"Sarkidiornis sylvicola"
Aves,Passeriformes,Parulidae,"Setophaga petechia"
Actinopterygii,Gobiiformes,Eleotridae,"Eleotris picta"
Actinopterygii,Ophidiiformes,Ophidiidae,"Genypterus maculatus"
Actinopterygii,'-,Gerreidae,"Gerres cinereus"
Aves,Passeriformes,Tyrannidae,"Myiodynastes bairdii"
Equisetopsida,Caryophyllales,Aizoaceae,"Sesuvium portulacastrum"
Elasmobranchii,Orectolobiformes,Ginglymostomatidae,"Ginglymostoma cirratum"
Aves,Passeriformes,Thraupidae,"Asemospiza obscura"
Actinopterygii,Perciformes,Sciaenidae,"Paralonchurus dumerilii"
Aves,Falconiformes,Falconidae,"Falco sparverius"
Aves,Charadriiformes,Laridae,"Sterna paradisaea"
Aves,Phoenicopteriformes,Phoenicopteridae,"Phoenicopterus chilensis"
Aves,Pelecaniformes,Ardeidae,"Egretta tricolor"
