Clase,Orden,Familia,Especie
Aves,Cathartiformes,Cathartidae,"Coragyps atratus"
Aves,Pelecaniformes,Ardeidae,"Nycticorax nycticorax"
Mammalia,Carnivora,Mustelidae,"Lontra felina"
Aves,Cuculiformes,Cuculidae,"Crotophaga sulcirostris"
Aves,Charadriiformes,Laridae,"Larosterna inca"
Aves,Charadriiformes,Charadriidae,"Charadrius semipalmatus"
Aves,Charadriiformes,Charadriidae,"Charadrius vociferus"
Aves,Passeriformes,Furnariidae,"Cinclodes taczanowskii"
Aves,Passeriformes,Passeridae,"Passer domesticus"
Aves,Charadriiformes,Haematopodidae,"Haematopus ater"
Aves,Passeriformes,Mimidae,"Mimus longicaudatus"
Aves,Pelecaniformes,Ardeidae,"Egretta caerulea"
Aves,Apodiformes,Trochilidae,"Rhodopis vesper"
Aves,Pelecaniformes,Pelecanidae,"Pelecanus thagus"
Aves,Passeriformes,Hirundinidae,"Pygochelidon cyanoleuca"
Aves,Charadriiformes,Rhynchopidae,"Rynchops niger"
Aves,Charadriiformes,Scolopacidae,"Numenius phaeopus"
Aves,Strigiformes,Strigidae,"Athene cunicularia"
Aves,Falconiformes,Falconidae,"Falco sparverius"
Aves,Suliformes,Phalacrocoracidae,"Phalacrocorax bougainvillii"
Aves,Suliformes,Phalacrocoracidae,"Phalacrocorax brasilianus"
Aves,Pelecaniformes,Ardeidae,"Egretta thula"
Aves,Charadriiformes,Laridae,"Leucophaeus atricilla"
Aves,Charadriiformes,Scolopacidae,"Calidris alba"
Aves,Charadriiformes,Laridae,"Leucophaeus pipixcan"
Aves,Pelecaniformes,Ardeidae,"Bubulcus ibis"
Aves,Charadriiformes,Burhinidae,"Burhinus superciliaris"
Aves,Apodiformes,Trochilidae,"Amazilia amazilia"
Aves,Passeriformes,Tyrannidae,"Pyrocephalus rubinus"
Aves,Charadriiformes,Charadriidae,"Charadrius nivosus"
Reptilia,Testudines,Cheloniidae,"Chelonia mydas"
Aves,Charadriiformes,Laridae,"Leucophaeus modestus"
Aves,Suliformes,Phalacrocoracidae,"Phalacrocorax gaimardi"
Reptilia,Testudines,Cheloniidae,"Lepidochelys olivacea"
Aves,Charadriiformes,Scolopacidae,"Actitis macularius"
Aves,Columbiformes,Columbidae,"Columbina cruziana"
Aves,Charadriiformes,Laridae,"Larus belcheri"
Aves,Charadriiformes,Haematopodidae,"Haematopus palliatus"
Reptilia,Sauria,Tropiduridae,"Microlophus peruvianus"
Aves,Cathartiformes,Cathartidae,"Cathartes aura"
Aves,Columbiformes,Columbidae,"Columba livia"
Aves,Charadriiformes,Laridae,"Larus dominicanus"
Aves,Passeriformes,Icteridae,"Dives warczewiczi"
Aves,Charadriiformes,Laridae,"Sternula lorata"
Aves,Columbiformes,Columbidae,"Zenaida auriculata"
Aves,Passeriformes,Troglodytidae,"Troglodytes aedon"
Aves,Passeriformes,Thraupidae,"Volatinia jacarina"
Aves,Passeriformes,Tyrannidae,"Tyrannus melancholicus"
Aves,Passeriformes,Passerellidae,"Zonotrichia capensis"
Aves,Suliformes,Sulidae,"Sula nebouxii"
Aves,Suliformes,Sulidae,"Sula variegata"
Aves,Columbiformes,Columbidae,"Zenaida meloda"
,,,
