Clase,Orden,Familia,Especie
Equisetopsida,Myrtales,Myrtaceae,"Myrcianthes quinqueloba"
Aves,Passeriformes,Passerellidae,"Atlapetes nationi"
Reptilia,Serpentes,Leptotyphlopidae,"Epictia tricolor"
Reptilia,Sauria,Tropiduridae,"Stenocercus modestus"
Aves,Strigiformes,Strigidae,"Megascops koepckeae"
Equisetopsida,Lamiales,Calceolariaceae,"Calceolaria scabra"
Aves,Passeriformes,Thraupidae,"Poospiza rubecula"
Aves,Passeriformes,Furnariidae,"Leptasthenura pileata"
Aves,Piciformes,Picidae,"Colaptes atricollis"
Reptilia,Sauria,Tropiduridae,"Microlophus tigris"
Aves,Apodiformes,Trochilidae,"Polyonymus caroli"
Reptilia,Sauria,Tropiduridae,"Stenocercus ornatissimus"
Aves,Passeriformes,Thraupidae,"Incaspiza pulchra"
Aves,Apodiformes,Trochilidae,"Metallura phoebe"
Equisetopsida,Solanales,Solanaceae,"Solanum amblophyllum"
Aves,Passeriformes,Cotingidae,"Zaratornis stresemanni"
,,,
