Clase,Orden,Familia,Especie
Aves,Passeriformes,Thraupidae,"Rhopospina alaudina"
Equisetopsida,Myrtales,Myrtaceae,"Myrcianthes quinqueloba"
Aves,Passeriformes,Thraupidae,"Diglossa brunneiventris"
Aves,Tinamiformes,Tinamidae,"Nothoprocta pentlandii"
Aves,Passeriformes,Tyrannidae,"Myiarchus tuberculifer"
Aves,Passeriformes,Tyrannidae,"Pyrocephalus rubinus"
Aves,Passeriformes,Passerellidae,"Atlapetes nationi"
Aves,Tinamiformes,Tinamidae,"Nothoprocta ornata"
Aves,Passeriformes,Icteridae,"Dives warczewiczi"
Aves,Columbiformes,Columbidae,"Columbina cruziana"
Aves,Passeriformes,Thraupidae,"Pipraeidea melanonota"
Aves,Passeriformes,Tyrannidae,"Contopus cinereus"
Aves,Passeriformes,Furnariidae,"Leptasthenura striata"
Aves,Passeriformes,Thraupidae,"Catamenia analis"
Reptilia,Serpentes,Leptotyphlopidae,"Epictia tricolor"
Aves,Apodiformes,Trochilidae,"Rhodopis vesper"
Aves,Passeriformes,Tyrannidae,"Cnemarchus rufipennis"
Aves,Accipitriformes,Accipitridae,"Buteo albigula"
Aves,Passeriformes,Fringillidae,"Spinus magellanicus"
Reptilia,Sauria,Tropiduridae,"Stenocercus modestus"
Aves,Accipitriformes,Accipitridae,"Buteo platypterus"
Reptilia,Serpentes,Dipsadidae,"Philodryas tachymenoides"
Aves,Strigiformes,Strigidae,"Megascops koepckeae"
Aves,Passeriformes,Thraupidae,"Geospizopsis unicolor"
Aves,Passeriformes,Thraupidae,"Sporophila luctuosa"
Aves,Passeriformes,Thraupidae,"Geospizopsis plebejus"
Aves,Passeriformes,Tyrannidae,"Anairetes reguloides"
Aves,Passeriformes,Tyrannidae,"Muscisaxicola maculirostris"
Equisetopsida,Lamiales,Calceolariaceae,"Calceolaria scabra"
Aves,Passeriformes,Thraupidae,"Saltator aurantiirostris"
Aves,Cuculiformes,Cuculidae,"Crotophaga sulcirostris"
Aves,Passeriformes,Thraupidae,"Poospiza rubecula"
Aves,Columbiformes,Columbidae,"Metriopelia ceciliae"
Aves,Columbiformes,Columbidae,"Patagioenas maculosa"
Aves,Passeriformes,Furnariidae,"Leptasthenura pileata"
Aves,Passeriformes,Thraupidae,"Catamenia inornata"
Aves,Accipitriformes,Accipitridae,"Geranoaetus polyosoma"
Equisetopsida,Ranunculales,Berberidaceae,"Berberis flexuosa"
Aves,Apodiformes,Trochilidae,"Patagona gigas"
Aves,Accipitriformes,Accipitridae,"Parabuteo unicinctus"
Aves,Apodiformes,Trochilidae,"Aglaeactis cupripennis"
Mammalia,Cetartiodactyla,Cervidae,"Odocoileus peruvianus"
Aves,Piciformes,Picidae,"Colaptes atricollis"
Aves,Passeriformes,Furnariidae,"Asthenes pudibunda"
Aves,Passeriformes,Passeridae,"Passer domesticus"
Aves,Passeriformes,Furnariidae,"Cranioleuca antisiensis"
Aves,Passeriformes,Tyrannidae,"Myiotheretes striaticollis"
Aves,Passeriformes,Mimidae,"Mimus longicaudatus"
Aves,Passeriformes,Thraupidae,"Rauenia bonariensis"
Equisetopsida,Malpighiales,Euphorbiaceae,"Croton ruizianus"
Aves,Passeriformes,Tyrannidae,"Ochthoeca leucophrys"
Aves,Passeriformes,Hirundinidae,"Pygochelidon cyanoleuca"
Aves,Passeriformes,Thraupidae,"Conirostrum cinereum"
Reptilia,Sauria,Tropiduridae,"Microlophus tigris"
Aves,Apodiformes,Apodidae,"Aeronautes andecolus"
Equisetopsida,Lamiales,Verbenaceae,"Duranta penlandii"
Aves,Passeriformes,Thraupidae,"Sporophila simplex"
Aves,Passeriformes,Thraupidae,"Rhipospina fruticeti"
Equisetopsida,Rosales,Rosaceae,"Hesperomeles cuneata"
Equisetopsida,Lamiales,Scrophulariaceae,"Buddleja incana"
Aves,Apodiformes,Trochilidae,"Colibri coruscans"
Aves,Passeriformes,Furnariidae,"Cinclodes atacamensis"
Aves,Columbiformes,Columbidae,"Patagioenas fasciata"
Equisetopsida,Rosales,Rosaceae,"Prunus rigida"
Aves,Passeriformes,Thraupidae,"Phrygilus punensis"
Equisetopsida,Solanales,Solanaceae,"Cestrum auriculatum"
Aves,Passeriformes,Cotingidae,"Ampelion rubrocristatus"
Aves,Apodiformes,Trochilidae,"Amazilia amazilia"
Aves,Passeriformes,Cinclidae,"Cinclus leucocephalus"
Aves,Psittaciformes,Psittacidae,"Bolborhynchus orbygnesius"
Aves,Apodiformes,Trochilidae,"Polyonymus caroli"
Aves,Columbiformes,Columbidae,"Columba livia"
Reptilia,Sauria,Tropiduridae,"Stenocercus ornatissimus"
Aves,Columbiformes,Columbidae,"Metriopelia melanoptera"
Aves,Passeriformes,Thraupidae,"Diglossa sittoides"
Mammalia,Carnivora,Felidae,"Puma concolor"
Aves,Columbiformes,Columbidae,"Leptotila verreauxi"
Aves,Passeriformes,Tyrannidae,"Camptostoma obsoletum"
Equisetopsida,Asterales,Asteraceae,"Aristeguietia discolor"
Aves,Accipitriformes,Accipitridae,"Geranoaetus melanoleucus"
Equisetopsida,Asterales,Asteraceae,"Baccharis tricuneata"
Equisetopsida,Apiales,Araliaceae,"Oreopanax oroyanus"
Aves,Passeriformes,Thraupidae,"Incaspiza pulchra"
Aves,Passeriformes,Thraupidae,"Sicalis olivascens"
Aves,Psittaciformes,Psittacidae,"Psilopsiagon aurifrons"
Aves,Strigiformes,Strigidae,"Glaucidium peruanum"
Aves,Passeriformes,Tyrannidae,"Anairetes flavirostris"
Aves,Apodiformes,Trochilidae,"Metallura phoebe"
Aves,Apodiformes,Trochilidae,"Metallura tyrianthina"
Aves,Passeriformes,Thraupidae,"Poospiza hispaniolensis"
Aves,Passeriformes,Tyrannidae,"Anairetes parulus"
Aves,Passeriformes,Thraupidae,"Sicalis luteola"
Aves,Passeriformes,Cardinalidae,"Pheucticus chrysogaster"
Aves,Passeriformes,Fringillidae,"Spinus crassirostris"
Aves,Passeriformes,Hirundinidae,"Orochelidon murina"
Equisetopsida,Escalloniales,Escalloniaceae,"Escallonia resinosa"
Aves,Falconiformes,Falconidae,"Falco sparverius"
Equisetopsida,Solanales,Solanaceae,"Solanum amblophyllum"
Aves,Passeriformes,Thraupidae,"Sicalis flaveola"
Aves,Apodiformes,Trochilidae,"Myrtis fanny"
Aves,Falconiformes,Falconidae,"Falco femoralis"
Aves,Passeriformes,Furnariidae,"Upucerthia validirostris"
Aves,Caprimulgiformes,Caprimulgidae,"Systellura longirostris"
Aves,Columbiformes,Columbidae,"Zenaida auriculata"
Equisetopsida,Santalales,Loranthaceae,"Tristerix longebracteatus"
Aves,Passeriformes,Thraupidae,"Thlypopsis ornata"
Aves,Columbiformes,Columbidae,"Zenaida meloda"
Aves,Cathartiformes,Cathartidae,"Vultur gryphus"
Aves,Passeriformes,Tyrannidae,"Tyrannus melancholicus"
Aves,Passeriformes,Thraupidae,"Xenodacnis parina"
Aves,Passeriformes,Cotingidae,"Zaratornis stresemanni"
Aves,Passeriformes,Turdidae,"Turdus chiguanco"
Aves,Passeriformes,Troglodytidae,"Troglodytes aedon"
Aves,Apodiformes,Trochilidae,"Thaumastura cora"
Aves,Apodiformes,Apodidae,"Streptoprocne zonaris"
Aves,Passeriformes,Thraupidae,"Volatinia jacarina"
Aves,Passeriformes,Passerellidae,"Zonotrichia capensis"
,,,
