Clase,Orden,Familia,Especie
Aves,Cathartiformes,Cathartidae,"Vultur gryphus"
Aves,Passeriformes,Troglodytidae,"Troglodytes aedon"
Aves,Charadriiformes,Charadriidae,"Vanellus resplendens"
Aves,Strigiformes,Tytonidae,"Tyto alba"
Aves,Passeriformes,Furnariidae,"Upucerthia validirostris"
Mammalia,Carnivora,Ursidae,"Tremarctos ornatus"
Aves,Passeriformes,Turdidae,"Turdus fuscater"
Aves,Passeriformes,Turdidae,"Turdus chiguanco"
Aves,Tinamiformes,Tinamidae,"Tinamotis pentlandii"
Aves,Passeriformes,Passerellidae,"Zonotrichia capensis"
Aves,Passeriformes,Cotingidae,"Zaratornis stresemanni"
Aves,Passeriformes,Thraupidae,"Xenodacnis parina"
Equisetopsida,Asterales,Asteraceae,Xenophyllum
Equisetopsida,Pottiales,Pottiaceae,Syntrichia
Mammalia,Cetartiodactyla,Camelidae,"Vicugna vicugna"
Aves,Caprimulgiformes,Caprimulgidae,"Systellura longirostris"
Aves,Passeriformes,Furnariidae,"Sylviorthorhynchus yanacensis"
Aves,Passeriformes,Hirundinidae,"Orochelidon murina"
Aves,Psittaciformes,Psittacidae,"Psittacara wagleri"
Aves,Gruiformes,Rallidae,"Fulica gigantea"
Aves,Passeriformes,Furnariidae,"Geocerthia serrana"
Aves,Passeriformes,Tyrannidae,"Agriornis montanus"
Aves,Passeriformes,Furnariidae,"Cinclodes atacamensis"
Aves,Passeriformes,Tyrannidae,"Cnemarchus rufipennis"
Aves,Tinamiformes,Tinamidae,"Nothoprocta ornata"
Aves,Anseriformes,Anatidae,"Spatula puna"
Aves,Apodiformes,Trochilidae,"Chalcostigma olivaceum"
Aves,Passeriformes,Tyrannidae,"Anairetes parulus"
Aves,Piciformes,Picidae,"Colaptes rupicola"
Aves,Apodiformes,Trochilidae,"Oreotrochilus estella"
Aves,Anseriformes,Anatidae,"Spatula discors"
Aves,Anseriformes,Anatidae,"Anas flavirostris"
Aves,Apodiformes,Trochilidae,"Colibri coruscans"
Aves,Passeriformes,Thraupidae,"Sicalis olivascens"
Aves,Passeriformes,Thraupidae,"Sicalis uropygialis"
Aves,Psittaciformes,Psittacidae,"Bolborhynchus orbygnesius"
Aves,Apodiformes,Trochilidae,"Aglaeactis cupripennis"
Aves,Passeriformes,Thraupidae,"Conirostrum binghami"
Aves,Columbiformes,Columbidae,"Metriopelia melanoptera"
Aves,Passeriformes,Tyrannidae,"Ochthoeca leucophrys"
Mammalia,Carnivora,Canidae,"Lycalopex (Pseudalopex) culpaeus"
Aves,Passeriformes,Thraupidae,"Conirostrum cinereum"
Aves,Gruiformes,Rallidae,"Fulica ardesiaca"
Aves,Apodiformes,Trochilidae,"Metallura phoebe"
Aves,Passeriformes,Thraupidae,"Catamenia inornata"
Equisetopsida,Pottiales,Pottiaceae,Rhexophyllum
Aves,Passeriformes,Furnariidae,"Asthenes humilis"
Aves,Passeriformes,Hirundinidae,"Pygochelidon cyanoleuca"
Aves,Passeriformes,Thraupidae,"Idiopsar speculiger"
Aves,Passeriformes,Cotingidae,"Ampelion rubrocristatus"
Aves,Passeriformes,Furnariidae,"Asthenes flammulata"
Aves,Accipitriformes,Accipitridae,"Geranoaetus polyosoma"
