Clase,Orden,Familia,Especie
Equisetopsida,Asparagales,Orchidaceae,"Xylobium varicosum"
Aves,Passeriformes,Thraupidae,"Tangara nigroviridis"
Aves,Caprimulgiformes,Caprimulgidae,"Uropsalis segmentata"
Aves,Passeriformes,Furnariidae,"Synallaxis unirufa"
Aves,Passeriformes,Thraupidae,"Stilpnia cyanicollis"
Aves,Passeriformes,Thraupidae,"Tangara xanthocephala"
Equisetopsida,Buxales,Buxaceae,"Styloceras laurifolium"
Aves,Passeriformes,Thraupidae,"Tangara parzudakii"
Aves,Passeriformes,Furnariidae,"Xiphorhynchus triangularis"
Mammalia,Carnivora,Ursidae,"Tremarctos ornatus"
Aves,Passeriformes,Furnariidae,"Xiphocolaptes promeropirhynchus"
Aves,Passeriformes,Thraupidae,"Stilpnia viridicollis"
Equisetopsida,Rosales,Cannabaceae,"Trema micranthum"
Reptilia,Serpentes,Colubridae,"Tantilla melanocephala"
Equisetopsida,Asparagales,Orchidaceae,"Sudamerlycaste cinnabarina"
Aves,Passeriformes,Furnariidae,"Syndactyla subalaris"
Aves,Passeriformes,Furnariidae,"Synallaxis azarae"
Aves,Passeriformes,Furnariidae,"Xenops rutilans"
Aves,Passeriformes,Furnariidae,"Thripophaga berlepschi"
Reptilia,Serpentes,Dipsadidae,"Taeniophallus brevirostris"
Aves,Passeriformes,Troglodytidae,"Troglodytes aedon"
Equisetopsida,Oxalidales,Cunoniaceae,"Weinmannia piurensis"
Equisetopsida,Buxales,Buxaceae,"Styloceras columnare"
Reptilia,Serpentes,Dipsadidae,"Xenodon rabdocephalus"
Aves,Passeriformes,Tyrannidae,"Zimmerius viridiflavus"
Aves,Passeriformes,Thamnophilidae,"Thamnophilus caerulescens"
Equisetopsida,Dipsacales,Viburnaceae,"Viburnum obtectum"
Equisetopsida,Asparagales,Orchidaceae,"Xylobium leontoglossum"
Aves,Columbiformes,Columbidae,"Zentrygon frenata"
Aves,Passeriformes,Thamnophilidae,"Thamnophilus ruficapillus"
Aves,Passeriformes,Thamnophilidae,"Thamnophilus unicolor"
Aves,Passeriformes,Tyrannidae,"Contopus fumigatus"
Equisetopsida,Ericales,Sapotaceae,"Chrysophyllum venezuelanense"
Equisetopsida,Rosales,Urticaceae,"Cecropia montana"
Aves,Passeriformes,Thraupidae,"Chlorornis riefferii"
Equisetopsida,Asparagales,Orchidaceae,"Pleurothallis scurrula"
Aves,Passeriformes,Troglodytidae,"Henicorhina leucophrys"
Equisetopsida,Chloranthales,Chloranthaceae,"Hedyosmum cuatrecazanum"
Aves,Cathartiformes,Cathartidae,"Coragyps atratus"
Equisetopsida,Chloranthales,Chloranthaceae,"Hedyosmum goudotianum"
Equisetopsida,Gentianales,Rubiaceae,"Cinchona pubescens"
Equisetopsida,Fabales,Fabaceae,"Inga extra-nodis"
Equisetopsida,Fabales,Fabaceae,"Inga feuillei"
Equisetopsida,Asparagales,Orchidaceae,"Maxillaria graminifolia"
Equisetopsida,Fabales,Fabaceae,"Lupinus hornemannii"
Aves,Passeriformes,Tyrannidae,"Leptopogon superciliaris"
Aves,Passeriformes,Vireonidae,"Cyclarhis gujanensis"
Equisetopsida,Gentianales,Rubiaceae,"Psychotria remota"
Equisetopsida,Cyatheales,Cyatheaceae,"Cyathea ruiziana"
Aves,Tinamiformes,Tinamidae,"Crypturellus obsoletus"
Equisetopsida,Myrtales,Melastomataceae,"Huberia weberbaueriana"
Aves,Passeriformes,Tyrannidae,"Elaenia pallatangae"
Equisetopsida,Myrtales,Myrtaceae,"Myrcia splendens"
Equisetopsida,Malpighiales,Euphorbiaceae,"Alchornea brittonii"
Equisetopsida,Asparagales,Orchidaceae,"Aspidogyne rotundifolia"
