Clase,Orden,Familia,Especie
Mammalia,Carnivora,Canidae,"Atelocynus microtis"
Mammalia,Primates,Atelidae,"Ateles belzebuth"
Mammalia,Cingulata,Chlamyphoridae,"Priodontes maximus"
Aves,Galliformes,Cracidae,"Mitu salvini"
Aves,Psittaciformes,Psittacidae,"Ara militaris"
Mammalia,Primates,Atelidae,"Lagothrix lagothricha"
Aves,Galliformes,Cracidae,"Aburria aburri"
Equisetopsida,Sapindales,Meliaceae,"Ruagea glabra"
Equisetopsida,Arecales,Arecaceae,"Euterpe catinga"
Equisetopsida,Podocarpales,Podocarpaceae,"Podocarpus oleifolius"
Equisetopsida,Asparagales,Orchidaceae,"Houlletia wallisii"
Aves,Accipitriformes,Accipitridae,"Harpia harpyja"
Mammalia,Pilosa,Myrmecophagidae,"Myrmecophaga tridactyla"
Mammalia,Carnivora,Mustelidae,"Pteronura brasiliensis"
Equisetopsida,Sapindales,Meliaceae,"Cedrela odorata"
Equisetopsida,Magnoliales,Magnoliaceae,"Magnolia bankardiorum"
Mammalia,Rodentia,Dinomyidae,"Dinomys branickii"
Mammalia,Sirenia,Trichechidae,"Trichechus inunguis"
Aves,Passeriformes,Thraupidae,"Wetmorethraupis sterrhopteron"
,,,
