Clase,Orden,Familia,Especie
Equisetopsida,Gentianales,Rubiaceae,"Joosia dichotoma"
Equisetopsida,Asparagales,Orchidaceae,"Maxillaria caveroi"
Equisetopsida,Asparagales,Orchidaceae,"Dichaea caveroi"
Equisetopsida,Asparagales,Orchidaceae,"Elleanthus caveroi"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum caveroi"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum dialychilum"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum pseudoalbiflorum"
Equisetopsida,Asparagales,Orchidaceae,"Andinia caveroi"
Equisetopsida,Ericales,Primulaceae,"Cybianthus flavovirens"
Equisetopsida,Asparagales,Orchidaceae,"Houlletia wallisii"
Equisetopsida,Asparagales,Orchidaceae,"Maxillaria machinazensis"
Equisetopsida,Asparagales,Orchidaceae,"Lepanthes mairae"
Equisetopsida,Asparagales,Orchidaceae,"Vanilla ruiziana"
,,,
