Clase,Orden,Familia,Especie
Equisetopsida,Gentianales,Rubiaceae,"Chiococca alba"
Equisetopsida,Gentianales,Rubiaceae,"Joosia dichotoma"
Equisetopsida,Gentianales,Rubiaceae,"Dolichodelphys chlorocrater"
Aves,Passeriformes,Tyrannidae,"Attila spadiceus"
Aves,Cuculiformes,Cuculidae,"Piaya melanogaster"
Equisetopsida,Polypodiales,Pteridaceae,"Adiantum anceps"
Aves,Psittaciformes,Psittacidae,"Pionites melanocephalus"
Aves,Passeriformes,Thraupidae,"Diglossa glauca"
Aves,Passeriformes,Furnariidae,"Glyphorynchus spirurus"
Aves,Apodiformes,Trochilidae,"Doryfera johannae"
Aves,Cuculiformes,Cuculidae,"Piaya cayana"
Equisetopsida,Selaginellales,Selaginellaceae,"Selaginella quadrifaria"
Equisetopsida,Lamiales,Acanthaceae,"Justicia manserichensis"
Aves,Passeriformes,Thraupidae,"Diglossa caerulescens"
Aves,Passeriformes,Tyrannidae,"Mionectes olivaceus"
Equisetopsida,Gentianales,Rubiaceae,"Palicourea cenepensis"
Aves,Piciformes,Ramphastidae,"Selenidera reinwardtii"
Equisetopsida,Polypodiales,Tectariaceae,"Dracoglossum plantagineum"
Aves,Psittaciformes,Psittacidae,"Pionus menstruus"
Equisetopsida,Arecales,Arecaceae,"Bactris gasipaes"
Aves,Passeriformes,Turdidae,"Myadestes ralloides"
Mammalia,Rodentia,Sciuridae,"Hadrosciurus ignitus"
Equisetopsida,Arecales,Arecaceae,"Attalea butyracea"
Equisetopsida,Myrtales,Melastomataceae,"Miconia caquetana"
Equisetopsida,Arecales,Arecaceae,"Phytelephas macrocarpa"
Equisetopsida,Gentianales,Rubiaceae,"Gonzalagunia bunchosioides"
Aves,Apodiformes,Trochilidae,"Colibri delphinae"
Equisetopsida,Lamiales,Gesneriaceae,"Drymonia affinis"
Mammalia,Rodentia,Erethizontidae,"Coendou bicolor"
Mammalia,Chiroptera,Phyllostomidae,"Glossophaga soricina"
Equisetopsida,Lamiales,Gesneriaceae,"Drymonia coccinea"
Equisetopsida,Asparagales,Orchidaceae,"Maxillaria caveroi"
Equisetopsida,Polypodiales,Didymochlaenaceae,"Didymochlaena truncatula"
Equisetopsida,Lamiales,Gesneriaceae,"Drymonia doratostyla"
Mammalia,Didelphimorphia,Didelphidae,"Didelphis marsupialis"
Aves,Strigiformes,Strigidae,"Megascops watsonii"
Equisetopsida,Gentianales,Rubiaceae,"Palicourea hoffmannseggiana"
Equisetopsida,Lamiales,Gesneriaceae,"Drymonia urceolata"
Equisetopsida,Lamiales,Gesneriaceae,"Drymonia warszewicziana"
Aves,Passeriformes,Tyrannidae,"Myiarchus tuberculifer"
Aves,Piciformes,Picidae,"Dryobates affinis"
Mammalia,Chiroptera,Phyllostomidae,"Phyllostomus elongatus"
Equisetopsida,Malpighiales,Salicaceae,"Banara guianensis"
Aves,Passeriformes,Tyrannidae,"Mionectes oleagineus"
Equisetopsida,Ericales,Theaceae,"Gordonia fruticosa"
Equisetopsida,Gentianales,Rubiaceae,"Faramea multiflora"
Aves,Columbiformes,Columbidae,"Patagioenas subvinacea"
Aves,Piciformes,Picidae,"Dryobates passerinus"
Equisetopsida,Malvales,Thymelaeaceae,"Schoenobiblus peruvianus"
Mammalia,Cetartiodactyla,Tayassuidae,"Dicotyles tajacu"
Mammalia,Carnivora,Canidae,"Atelocynus microtis"
Aves,Passeriformes,Thamnophilidae,"Hylophylax naevius"
Aves,Piciformes,Picidae,"Dryocopus lineatus"
Aves,Coraciiformes,Momotidae,"Baryphthengus martii"
Mammalia,Primates,Atelidae,"Ateles belzebuth"
Actinopterygii,Characiformes,Characidae,"Astyanax maximus"
Reptilia,Sauria,Teiidae,"Kentropyx pelviceps"
Actinopterygii,Characiformes,Characidae,"Astyanax fasciatus"
Aves,Passeriformes,Tyrannidae,"Phylloscartes orbitalis"
Aves,Passeriformes,Furnariidae,"Anabacerthia ruficaudata"
Actinopterygii,Characiformes,Characidae,"Astyanax bimaculatus"
Aves,Passeriformes,Pipridae,"Manacus manacus"
Aves,Apodiformes,Trochilidae,"Klais guimeti"
Equisetopsida,Gentianales,Rubiaceae,"Palicourea bertieroides"
Equisetopsida,Brassicales,Caricaceae,"Jacaratia digitata"
Equisetopsida,Asparagales,Orchidaceae,"Maxillaria aurea"
Aves,Passeriformes,Polioptilidae,"Microbates cinereiventris"
Equisetopsida,Arecales,Arecaceae,"Astrocaryum murumuru"
Equisetopsida,Gentianales,Rubiaceae,"Macrocnemum roseum"
Equisetopsida,Gentianales,Rubiaceae,"Duroia hirsuta"
Equisetopsida,Arecales,Arecaceae,"Astrocaryum chambira"
Actinopterygii,Siluriformes,Pimelodidae,"Megalonema platycephalum"
Equisetopsida,Myrtales,Melastomataceae,"Miconia dimorphica"
Equisetopsida,Fabales,Fabaceae,"Dussia tessmannii"
Aves,Passeriformes,Parulidae,"Basileuterus tristriatus"
Equisetopsida,Solanales,Solanaceae,"Solanum leptopodum"
Mammalia,Carnivora,Procyonidae,"Bassaricyon alleni"
Equisetopsida,Lamiales,Bignoniaceae,"Jacaranda copaia"
Mammalia,Didelphimorphia,Didelphidae,"Glironia venusta"
Equisetopsida,Gentianales,Rubiaceae,"Palicourea iodotricha"
Aves,Passeriformes,Thamnophilidae,"Dysithamnus mentalis"
Equisetopsida,Asparagales,Orchidaceae,"Dichaea caveroi"
Equisetopsida,Rosales,Rhamnaceae,"Gouania lupuloides"
Aves,Falconiformes,Falconidae,"Ibycter americanus"
Mammalia,Cingulata,Chlamyphoridae,"Priodontes maximus"
Equisetopsida,Lamiales,Gesneriaceae,"Diastema scabrum"
Equisetopsida,Lamiales,Gesneriaceae,"Diastema racemiferum"
Aves,Passeriformes,Onychorhynchidae,"Myiobius barbatus"
Equisetopsida,Gentianales,Rubiaceae,"Schizocalyx condoricus"
Equisetopsida,Fabales,Fabaceae,"Bauhinia brachycalyx"
Aves,Accipitriformes,Accipitridae,"Morphnarchus princeps"
Equisetopsida,Malpighiales,Salicaceae,"Neosprucea tenuisepala"
Aves,Galbuliformes,Galbulidae,"Jacamerops aureus"
Mammalia,Didelphimorphia,Didelphidae,"Gracilinanus peruanus"
Equisetopsida,Fabales,Fabaceae,"Bauhinia tarapotensis"
Actinopterygii,Characiformes,Characidae,"Knodus orteguasae"
Equisetopsida,Gentianales,Rubiaceae,"Palicourea jatun-sachensis"
Equisetopsida,Asparagales,Orchidaceae,"Monophyllorchis microstyloides"
Equisetopsida,Fabales,Fabaceae,"Senna macrophylla"
Aves,Galbuliformes,Bucconidae,"Nystalus obamai"
Actinopterygii,Characiformes,Characidae,"Knodus smithi"
Equisetopsida,Cucurbitales,Begoniaceae,"Begonia rossmanniae"
Equisetopsida,Gentianales,Rubiaceae,"Faramea anisocalyx"
Aves,Galbuliformes,Galbulidae,"Galbula albirostris"
Equisetopsida,Arecales,Arecaceae,"Pholidostachys synanthera"
Reptilia,Crocodylia,Alligatoridae,"Paleosuchus trigonatus"
Aves,Galliformes,Cracidae,"Penelope jacquacu"
Equisetopsida,Polypodiales,Desmophlebiaceae,"Desmophlebium lechleri"
