Clase,Orden,Familia,Especie,endemica,amenazada
Equisetopsida,Gentianales,Rubiaceae,Chiococca alba,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Joosia dichotoma,TRUE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Dolichodelphys chlorocrater,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Attila spadiceus,FALSE,FALSE
Aves,Cuculiformes,Cuculidae,Piaya melanogaster,FALSE,FALSE
Equisetopsida,Polypodiales,Pteridaceae,Adiantum anceps,FALSE,FALSE
Aves,Psittaciformes,Psittacidae,Pionites melanocephalus,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Diglossa glauca,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Glyphorynchus spirurus,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Doryfera johannae,FALSE,FALSE
Aves,Cuculiformes,Cuculidae,Piaya cayana,FALSE,FALSE
Equisetopsida,Selaginellales,Selaginellaceae,Selaginella quadrifaria,FALSE,FALSE
Equisetopsida,Lamiales,Acanthaceae,Justicia manserichensis,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Diglossa caerulescens,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Mionectes olivaceus,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Palicourea cenepensis,FALSE,FALSE
Aves,Piciformes,Ramphastidae,Selenidera reinwardtii,FALSE,FALSE
Equisetopsida,Polypodiales,Tectariaceae,Dracoglossum plantagineum,FALSE,FALSE
Aves,Psittaciformes,Psittacidae,Pionus menstruus,FALSE,FALSE
Equisetopsida,Arecales,Arecaceae,Bactris gasipaes,FALSE,FALSE
Aves,Passeriformes,Turdidae,Myadestes ralloides,FALSE,FALSE
Mammalia,Rodentia,Sciuridae,Hadrosciurus ignitus,FALSE,FALSE
Equisetopsida,Arecales,Arecaceae,Attalea butyracea,FALSE,FALSE
Equisetopsida,Myrtales,Melastomataceae,Miconia caquetana,FALSE,FALSE
Equisetopsida,Arecales,Arecaceae,Phytelephas macrocarpa,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Gonzalagunia bunchosioides,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Colibri delphinae,FALSE,FALSE
Equisetopsida,Lamiales,Gesneriaceae,Drymonia affinis,FALSE,FALSE
Mammalia,Rodentia,Erethizontidae,Coendou bicolor,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Glossophaga soricina,FALSE,FALSE
Equisetopsida,Lamiales,Gesneriaceae,Drymonia coccinea,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Maxillaria caveroi,TRUE,FALSE
Equisetopsida,Polypodiales,Didymochlaenaceae,Didymochlaena truncatula,FALSE,FALSE
Equisetopsida,Lamiales,Gesneriaceae,Drymonia doratostyla,FALSE,FALSE
