Clase,Orden,Familia,Especie
Aves,Piciformes,Ramphastidae,"Pteroglossus castanotis"
Aves,Passeriformes,Thraupidae,"Lanio versicolor"
Aves,Galbuliformes,Galbulidae,"Galbalcyrhynchus leucotis"
Aves,Passeriformes,Grallariidae,"Grallaria eludens"
Aves,Apodiformes,Apodidae,"Chaetura egregia"
Aves,Caprimulgiformes,Caprimulgidae,"Nyctiphrynus ocellatus"
Reptilia,Sauria,Gymnophthalmidae,"Potamites ecpleopus"
Reptilia,Serpentes,Colubridae,"Drymobius rhombifer"
Aves,Passeriformes,Thraupidae,"Parkerthraustes humeralis"
Aves,Apodiformes,Apodidae,"Chaetura cinereiventris"
Mammalia,Primates,Cebidae,"Cebuella pygmaea"
Aves,Psittaciformes,Psittacidae,"Nannopsittaca dachilleae"
Aves,Apodiformes,Apodidae,"Chaetura brachyura"
Aves,Passeriformes,Thraupidae,"Hemithraupis flavicollis"
Aves,Passeriformes,Thraupidae,"Ixothraupis xanthogastra"
Aves,Galbuliformes,Bucconidae,"Bucco tamatia"
Aves,Galbuliformes,Bucconidae,"Malacoptila semicincta"
Aves,Piciformes,Ramphastidae,"Ramphastos vitellinus"
Aves,Passeriformes,Cardinalidae,"Habia rubica"
Equisetopsida,Malvales,Malvaceae,"Pavonia corymbosa"
Insecta,Lepidoptera,Erebidae,"Andrenimorpha sephela"
Insecta,Coleoptera,Scarabaeidae,"Eurysternus ventricosus"
Aves,Passeriformes,Tyrannidae,"Hemitriccus griseipectus"
Aves,Apodiformes,Trochilidae,"Phaethornis bourcieri"
Aves,Passeriformes,Tyrannidae,"Hemitriccus minimus"
Aves,Passeriformes,Tyrannidae,"Ramphotrigon ruficauda"
Reptilia,Serpentes,Boidae,"Corallus hortulanus"
Aves,Passeriformes,Hirundinidae,"Atticora tibialis"
Aves,Passeriformes,Tityridae,"Laniocera hypopyrra"
Mammalia,Rodentia,Cricetidae,"Neacomys musseri"
Mammalia,Rodentia,Sciuridae,"Hadrosciurus spadiceus"
Insecta,Coleoptera,Scarabaeidae,"Eurysternus vastiorum"
Aves,Cathartiformes,Cathartidae,"Coragyps atratus"
Mammalia,Primates,Cebidae,"Saguinus (Tamarinus) imperator"
Aves,Passeriformes,Mitrospingidae,"Lamprospiza melanoleuca"
Aves,Passeriformes,Tityridae,"Schiffornis turdina"
