Clase,Orden,Familia,Especie
Amphibia,Anura,Centrolenidae,"Cochranella euhystrix"
Amphibia,Anura,Hemiphractidae,"Gastrotheca aratia"
Amphibia,Anura,Hemiphractidae,"Gastrotheca monticola"
Amphibia,Anura,Craugastoridae,"Noblella heyeri"
Amphibia,Anura,Bufonidae,"Atelopus pachydermus"
Amphibia,Anura,Craugastoridae,"Pristimantis lymani"
Amphibia,Anura,Craugastoridae,"Pristimantis cajamarcensis"
Amphibia,Anura,Microhylidae,"Hamptophryne boliviana"
Amphibia,Anura,Centrolenidae,"Hyalinobatrachium bergeri"
Amphibia,Anura,Centrolenidae,"Hyalinobatrachium carlesvilai"
Amphibia,Anura,Bufonidae,"Rhinella poeppigii"
Amphibia,Anura,Bufonidae,"Rhinella margaritifera"
Amphibia,Anura,Hylidae,"Hyloscirtus phyllognathus"
Amphibia,Caudata,Plethodontidae,"Bolitoglossa peruviana"
Amphibia,Anura,Hylidae,"Hypsiboas lanciformis"
Amphibia,Anura,Centrolenidae,"Nymphargus mariae"
Amphibia,Anura,Leptodactylidae,"Adenomera hylaedactyla"
Amphibia,Anura,Hylidae,"Scinax ruber"
Amphibia,Anura,Hylidae,"Scinax garbei"
Amphibia,Anura,Hylidae,"Scinax cruentommus"
Amphibia,Anura,Leptodactylidae,"Leptodactylus knudseni"
Amphibia,Anura,Leptodactylidae,"Leptodactylus petersii"
Amphibia,Anura,Leptodactylidae,"Leptodactylus rhodonotus"
Amphibia,Anura,Hylidae,"Dendropsophus sarayacuensis"
Amphibia,Anura,Hylidae,"Dendropsophus rhodopeplus"
Amphibia,Anura,Hylidae,"Dendropsophus minutus"
Amphibia,Anura,Craugastoridae,"Pristimantis rhabdolaemus"
Amphibia,Anura,Craugastoridae,"Pristimantis rhabdocnemus"
Amphibia,Anura,Phyllomedusidae,"Phyllomedusa camba"
Amphibia,Anura,Craugastoridae,"Pristimantis ockendeni"
Amphibia,Anura,Craugastoridae,"Pristimantis minutulus"
Amphibia,Anura,Craugastoridae,"Pristimantis mendax"
