Clase,Orden,Familia,Especie
Insecta,Lepidoptera,Riodinidae,"Synargis ochra"
Insecta,Lepidoptera,Hesperiidae,"Vinius tryhana istria"
Insecta,Lepidoptera,Lycaenidae,"Strephonota foyi"
Insecta,Lepidoptera,Lycaenidae,"Terenthina terentia"
Insecta,Lepidoptera,Nymphalidae,"Temenis pulchra"
Insecta,Lepidoptera,Nymphalidae,"Temenis laothoe"
Insecta,Lepidoptera,Nymphalidae,"Telenassa jana"
Insecta,Lepidoptera,Hesperiidae,"Telemiades amphion misitheus"
Insecta,Lepidoptera,Nymphalidae,"Tegosa etia"
Insecta,Lepidoptera,Nymphalidae,"Tegosa claudina"
Insecta,Lepidoptera,Nymphalidae,"Yphthimoides renata"
Insecta,Lepidoptera,Nymphalidae,"Tithorea harmonia melanina"
Insecta,Lepidoptera,Hesperiidae,"Yanguna cometes staudingeri"
Insecta,Lepidoptera,Nymphalidae,"Taygetis rufomarginata"
Insecta,Lepidoptera,Nymphalidae,"Taygetis larua"
Insecta,Lepidoptera,Riodinidae,"Thisbe irenea"
Insecta,Lepidoptera,Riodinidae,"Thisbe incubus"
Insecta,Lepidoptera,Lycaenidae,"Thestius meridionalis"
Insecta,Lepidoptera,Lycaenidae,"Theritas hemon"
Insecta,Lepidoptera,Riodinidae,"Theope nycteis"
Insecta,Lepidoptera,Lycaenidae,"Strymon mulucha"
Insecta,Lepidoptera,Lycaenidae,"Strymon ziba"
Insecta,Lepidoptera,Riodinidae,"Crocozona fasciata fasciata"
Insecta,Lepidoptera,Nymphalidae,"Junonia genoveva"
Insecta,Lepidoptera,Nymphalidae,"Fountainea nessus"
Insecta,Lepidoptera,Riodinidae,"Melanis cercopes"
Insecta,Lepidoptera,Riodinidae,"Crocozona coecias"
Insecta,Lepidoptera,Lycaenidae,"Parrhasius polibetes"
Insecta,Lepidoptera,Pieridae,"Melete lycimnia"
Insecta,Lepidoptera,Hesperiidae,"Parphorus storax storax"
Insecta,Lepidoptera,Riodinidae,"Chamaelimnas briola briola"
Insecta,Lepidoptera,Nymphalidae,"Caligo superbus"
Insecta,Lepidoptera,Hesperiidae,"Aethilla eleusinia"
Insecta,Lepidoptera,Nymphalidae,"Adelpha irmina"
Insecta,Lepidoptera,Nymphalidae,"Oleria gunilla serdolis"
Insecta,Lepidoptera,Nymphalidae,"Oleria estella estella"
Insecta,Lepidoptera,Riodinidae,"Chalodeta theodora"
Insecta,Lepidoptera,Riodinidae,"Chalodeta panurga"
Insecta,Lepidoptera,Nymphalidae,"Adelpha plesaure"
Insecta,Lepidoptera,Nymphalidae,"Callicore excelsior"
Insecta,Lepidoptera,Nymphalidae,"Callicore felderi"
Insecta,Lepidoptera,Nymphalidae,"Callicore hystaspes"
Insecta,Lepidoptera,Nymphalidae,"Callicore texa"
Insecta,Lepidoptera,Hesperiidae,"Jemadia albescens"
Insecta,Lepidoptera,Nymphalidae,"Historis acheronta"
Insecta,Lepidoptera,Nymphalidae,"Historis odius"
Insecta,Lepidoptera,Papilionidae,"Parides vertumnus bogotanus"
Insecta,Lepidoptera,Papilionidae,"Parides sesostris sesostris"
Insecta,Lepidoptera,Nymphalidae,"Pteronymia oneida"
Insecta,Lepidoptera,Papilionidae,"Parides neophilus olivencius"
Insecta,Lepidoptera,Papilionidae,"Neographium leucaspis"
Insecta,Lepidoptera,Papilionidae,"Parides erithalion xanthias"
Insecta,Lepidoptera,Papilionidae,"Pterourus menatius"
Insecta,Lepidoptera,Papilionidae,"Pterourus zagreus"
Insecta,Lepidoptera,Nymphalidae,"Pareuptychia ocirrhoe"
Insecta,Lepidoptera,Nymphalidae,"Pareuptychia metaleuca"
Insecta,Lepidoptera,Nymphalidae,"Hamadryas laodamia"
Insecta,Lepidoptera,Nymphalidae,"Selenophanes cassiope"
Insecta,Lepidoptera,Lycaenidae,"Calycopis bellera"
Insecta,Lepidoptera,Lycaenidae,"Calycopis calus"
Insecta,Lepidoptera,Lycaenidae,"Calycopis centoripa"
Insecta,Lepidoptera,Lycaenidae,"Calycopis demonassa"
Insecta,Lepidoptera,Hesperiidae,"Saliana salius"
Insecta,Lepidoptera,Nymphalidae,"Hamadryas arinome"
Insecta,Lepidoptera,Nymphalidae,"Hamadryas amphinome"
Insecta,Lepidoptera,Nymphalidae,"Haetera piera"
Insecta,Lepidoptera,Nymphalidae,"Megeuptychia antonoe"
Insecta,Lepidoptera,Nymphalidae,"Hyalyris schlingeri"
Insecta,Lepidoptera,Nymphalidae,"Marpesia zerynthia"
Insecta,Lepidoptera,Nymphalidae,"Pierella lamia"
Insecta,Lepidoptera,Riodinidae,"Parcella amarynthina"
Insecta,Lepidoptera,Nymphalidae,"Ithomia terra"
Insecta,Lepidoptera,Nymphalidae,"Ithomia salapia diaphana"
Insecta,Lepidoptera,Hesperiidae,"Potamanaxas paralus"
Insecta,Lepidoptera,Nymphalidae,"Marpesia petreus"
Insecta,Lepidoptera,Nymphalidae,"Ithomia agnosia"
Insecta,Lepidoptera,Nymphalidae,"Marpesia furcula"
Insecta,Lepidoptera,Lycaenidae,"Aubergina hesychia"
Insecta,Lepidoptera,Nymphalidae,"Nessaea hewitsonii"
Insecta,Lepidoptera,Hesperiidae,"Quadrus cerialis"
Insecta,Lepidoptera,Nymphalidae,"Oxeoschistus pronax"
Insecta,Lepidoptera,Nymphalidae,"Marpesia corinna"
Insecta,Lepidoptera,Pieridae,"Ganyra phaloe"
Insecta,Lepidoptera,Papilionidae,"Mimoides xeniades signatus"
Insecta,Lepidoptera,Nymphalidae,"Magneuptychia fugitiva"
Insecta,Lepidoptera,Nymphalidae,"Polygrapha cyanea"
Insecta,Lepidoptera,Nymphalidae,"Marpesia berania"
Insecta,Lepidoptera,Riodinidae,"Rhetus periander"
Insecta,Lepidoptera,Pieridae,"Rhabdodryas trite"
Insecta,Lepidoptera,Hesperiidae,"Autochton zarex"
Insecta,Lepidoptera,Hesperiidae,"Pachyneuria herophile"
Insecta,Lepidoptera,Hesperiidae,"Pachyneuria jaguar"
Insecta,Lepidoptera,Riodinidae,"Amarynthis meneria"
Insecta,Lepidoptera,Lycaenidae,"Allosmaitia strophius"
Insecta,Lepidoptera,Nymphalidae,"Adelpha boeotia"
Insecta,Lepidoptera,Nymphalidae,"Hypanartia dione"
Insecta,Lepidoptera,Nymphalidae,"Hypanartia lethe"
Insecta,Lepidoptera,Nymphalidae,"Hypanartia trimaculata"
Insecta,Lepidoptera,Nymphalidae,"Philaethria ostara"
Insecta,Lepidoptera,Pieridae,"Dismorphia thermesia"
Insecta,Lepidoptera,Pieridae,"Pieriballia viardi"
Insecta,Lepidoptera,Riodinidae,"Caria castalia"
Insecta,Lepidoptera,Riodinidae,"Caria chrysame"
Insecta,Lepidoptera,Nymphalidae,"Hypna clytemnestra"
Insecta,Lepidoptera,Nymphalidae,"Greta libethris libethris"
Insecta,Lepidoptera,Nymphalidae,"Altinote alcione"
Insecta,Lepidoptera,Lycaenidae,"Hypostrymon asa"
Insecta,Lepidoptera,Nymphalidae,"Hypothyris euclea callanga"
Insecta,Lepidoptera,Hesperiidae,"Pyrgus orcus"
Insecta,Lepidoptera,Nymphalidae,"Hypothyris semifulva pallisteri"
Insecta,Lepidoptera,Lycaenidae,"Celmia celmus"
Insecta,Lepidoptera,Riodinidae,"Metacharis syloes"
Insecta,Lepidoptera,Hesperiidae,"Spathilepia clonius"
Insecta,Lepidoptera,Lycaenidae,"Ocaria thales"
Insecta,Lepidoptera,Lycaenidae,"Ocaria ocrisia"
Insecta,Lepidoptera,Hesperiidae,"Gorgopas trochilus"
Insecta,Lepidoptera,Nymphalidae,"Bia actorion"
Insecta,Lepidoptera,Nymphalidae,"Panacea prola"
Insecta,Lepidoptera,Riodinidae,"Nymphidium caricae"
Insecta,Lepidoptera,Hesperiidae,"Celaenorrhinus syllius"
Insecta,Lepidoptera,Riodinidae,"Nymphidium azanoides"
Insecta,Lepidoptera,Hesperiidae,"Celaenorrhinus jao"
Insecta,Lepidoptera,Riodinidae,"Nymphidium ascolia"
Insecta,Lepidoptera,Nymphalidae,"Godyris zavaleta huallaga"
Insecta,Lepidoptera,Nymphalidae,"Godyris duillia"
Insecta,Lepidoptera,Pieridae,"Catasticta sisamnus telasco"
Insecta,Lepidoptera,Lycaenidae,"Micandra platyptera"
Insecta,Lepidoptera,Nymphalidae,"Pyrrhogyra edocla"
Insecta,Lepidoptera,Riodinidae,"Metacharis regalis"
Insecta,Lepidoptera,Nymphalidae,"Pyrrhogyra otolais"
Insecta,Lepidoptera,Riodinidae,"Emesis brimo"
Insecta,Lepidoptera,Lycaenidae,"Mithras orobia"
Insecta,Lepidoptera,Hesperiidae,"Pyrrhopyge aziza troja"
Insecta,Lepidoptera,Nymphalidae,"Adelpha iphiclus"
Insecta,Lepidoptera,Riodinidae,"Emesis mandana"
Insecta,Lepidoptera,Nymphalidae,"Catonephele numilia"
Insecta,Lepidoptera,Riodinidae,"Emesis ocypore"
Insecta,Lepidoptera,Nymphalidae,"Catonephele salambria"
Insecta,Lepidoptera,Riodinidae,"Baeotis bacaenis"
Insecta,Lepidoptera,Nymphalidae,"Mechanitis mazaeus fallax"
Insecta,Lepidoptera,Nymphalidae,"Mechanitis polymnia proceriformis"
Insecta,Lepidoptera,Pieridae,"Aphrissa statira"
Insecta,Lepidoptera,Nymphalidae,"Mechanitis lysimnia ocona"
Insecta,Lepidoptera,Nymphalidae,"Cithaerias pireta"
Insecta,Lepidoptera,Nymphalidae,"Cissia proba"
Insecta,Lepidoptera,Pieridae,"Eurema albula"
Insecta,Lepidoptera,Nymphalidae,"Cithaerias pyropina"
Insecta,Lepidoptera,Nymphalidae,"Memphis pithyusa"
Insecta,Lepidoptera,Pieridae,"Eurema paulina"
Insecta,Lepidoptera,Hesperiidae,"Cycloglypha caeruleonigra"
Insecta,Lepidoptera,Nymphalidae,"Memphis polycarmes"
Insecta,Lepidoptera,Pieridae,"Eurema salome"
Insecta,Lepidoptera,Hesperiidae,"Euriphellus euribates euribates"
Insecta,Lepidoptera,Riodinidae,"Eurybia caerulescens"
Insecta,Lepidoptera,Nymphalidae,"Siproeta epaphus"
Insecta,Lepidoptera,Nymphalidae,"Siproeta stelenes"
Insecta,Lepidoptera,Riodinidae,"Eurybia dardus annulata"
Insecta,Lepidoptera,Riodinidae,"Eurybia juturna"
