Clase,Orden,Familia,Especie
Mammalia,Cingulata,Dasypodidae,"Dasypus pilosus"
Mammalia,Rodentia,Dasyproctidae,"Dasyprocta kalinowskii"
Mammalia,Rodentia,Cuniculidae,"Cuniculus taczanowskii"
Mammalia,Carnivora,Mustelidae,"Lontra longicaudis"
Mammalia,Rodentia,Dinomyidae,"Dinomys branickii"
Mammalia,Carnivora,Mephitidae,"Conepatus chinga"
Mammalia,Carnivora,Mustelidae,"Neogale frenata"
Mammalia,Rodentia,Cricetidae,"Nephelomys keaysi"
Mammalia,Carnivora,Felidae,"Panthera onca"
Mammalia,Didelphimorphia,Didelphidae,"Marmosops (Sciophanes) juninensis"
Mammalia,Cetartiodactyla,Cervidae,"Pudella carlae"
Mammalia,Rodentia,Cricetidae,"Akodon orophilus"
Mammalia,Rodentia,Sciuridae,"Hadrosciurus pyrrhinus"
Mammalia,Pilosa,Myrmecophagidae,"Myrmecophaga tridactyla"
Mammalia,Cetartiodactyla,Cervidae,"Odocoileus peruvianus"
Mammalia,Carnivora,Felidae,"Puma concolor"
Mammalia,Carnivora,Mustelidae,"Eira barbara"
Mammalia,Carnivora,Felidae,"Leopardus pardalis"
Mammalia,Carnivora,Felidae,"Leopardus garleppi"
Mammalia,Carnivora,Canidae,"Lycalopex (Pseudalopex) culpaeus"
Mammalia,Rodentia,Cricetidae,"Oecomys phaeotis"
Mammalia,Carnivora,Procyonidae,"Nasua nasua"
Mammalia,Rodentia,Cuniculidae,"Cuniculus paca"
Mammalia,Rodentia,Cricetidae,"Akodon torques"
Mammalia,Rodentia,Cricetidae,"Thomasomys notatus"
Mammalia,Rodentia,Cricetidae,"Thomasomys incanus"
Mammalia,Lagomorpha,Leporidae,"Sylvilagus brasiliensis"
Mammalia,Carnivora,Ursidae,"Tremarctos ornatus"
Mammalia,Perissodactyla,Tapiridae,"Tapirus terrestris"
Mammalia,Cetartiodactyla,Tayassuidae,"Dicotyles tajacu"
Mammalia,Cingulata,Dasypodidae,"Dasypus novemcinctus"
Mammalia,Cetartiodactyla,Cervidae,"Mazama americana"
Mammalia,Rodentia,Dasyproctidae,"Dasyprocta fuliginosa"
Mammalia,Cetartiodactyla,Cervidae,"Pudu mephistophiles"
Mammalia,Didelphimorphia,Didelphidae,"Didelphis marsupialis"
Mammalia,Carnivora,Mustelidae,"Galictis vittata"
Mammalia,Rodentia,Caviidae,"Cavia tschudii"
Mammalia,Didelphimorphia,Didelphidae,"Didelphis pernigra"
Mammalia,Pilosa,Bradypodidae,"Bradypus variegatus"
Mammalia,Chiroptera,Vespertilionidae,"Eptesicus (Histiotus) velatus"
Mammalia,Carnivora,Procyonidae,"Potos flavus"
Mammalia,Perissodactyla,Tapiridae,"Tapirus pinchaque"
Mammalia,Cetartiodactyla,Tayassuidae,"Tayassu pecari"
Mammalia,Pilosa,Myrmecophagidae,"Tamandua tetradactyla"
Mammalia,Chiroptera,Phyllostomidae,"Vampyriscus bidens"
Mammalia,Carnivora,Canidae,"Speothos venaticus"
Mammalia,Primates,Atelidae,"Alouatta seniculus"
Mammalia,Primates,Cebidae,"Cebus (Sapajus) apella"
Mammalia,Carnivora,Felidae,"Puma yagouaroundi"
Mammalia,Carnivora,Mustelidae,"Pteronura brasiliensis"
Mammalia,Primates,Cebidae,"Saguinus (Tamarinus) mystax"
Mammalia,Primates,Pitheciidae,"Callicebus oenanthe"
Mammalia,Primates,Atelidae,"Ateles belzebuth"
Mammalia,Primates,Pitheciidae,"Cacajao calvus"
Mammalia,Cingulata,Chlamyphoridae,"Priodontes maximus"
Mammalia,Primates,Atelidae,"Lagothrix flavicauda"
Mammalia,Primates,Atelidae,"Lagothrix lagothricha"
Mammalia,Chiroptera,Phyllostomidae,"Choeroniscus minor"
Mammalia,Primates,Cebidae,"Cebus (Cebus) albifrons"
Mammalia,Rodentia,Erethizontidae,"Coendou bicolor"
Mammalia,Chiroptera,Phyllostomidae,"Desmodus rotundus"
Mammalia,Primates,Cebidae,"Aotus miconax"
Mammalia,Carnivora,Mustelidae,"Neogale africana"
Mammalia,Carnivora,Procyonidae,"Procyon cancrivorus"
Mammalia,Chiroptera,Phyllostomidae,"Phylloderma stenops"
Mammalia,Chiroptera,Phyllostomidae,"Lonchophylla hesperia"
Mammalia,Chiroptera,Phyllostomidae,"Artibeus fraterculus"
Mammalia,Chiroptera,Phyllostomidae,"Lophostoma occidentalis"
Mammalia,Rodentia,Cricetidae,"Phyllotis amicus"
Mammalia,Chiroptera,Phyllostomidae,"Glossophaga valens"
Mammalia,Chiroptera,Molossidae,"Molossus molossus"
Mammalia,Rodentia,Sciuridae,"Simosciurus nebouxii"
Mammalia,Rodentia,Cricetidae,"Rhipidomys leucodactylus"
Mammalia,Chiroptera,Vespertilionidae,"Eptesicus innoxius"
Mammalia,Carnivora,Canidae,"Lycalopex (Pseudalopex) sechurae"
Mammalia,Carnivora,Mephitidae,"Conepatus semistriatus"
Mammalia,Chiroptera,Molossidae,"Eumops auripendulus"
Mammalia,Rodentia,Cricetidae,"Aegialomys xanthaeolus"
Mammalia,Chiroptera,Furipteridae,"Amorphochilus schnablii"
Mammalia,Didelphimorphia,Didelphidae,"Marmosa (Exulomarmosa) simonsi"
Mammalia,Chiroptera,Phyllostomidae,"Sturnira bakeri"
Mammalia,Pilosa,Myrmecophagidae,"Tamandua mexicana"
Mammalia,Cetartiodactyla,Camelidae,"Vicugna vicugna"
Mammalia,Rodentia,Cricetidae,"Nephelomys albigularis"
Mammalia,Rodentia,Cricetidae,"Akodon mollis"
Mammalia,Eulipotyphla,Soricidae,"Cryptotis peruviensis"
Mammalia,Cetartiodactyla,Cervidae,"Mazama nemorivaga"
Mammalia,Rodentia,Cricetidae,"Thomasomys pyrrhonotus"
Mammalia,Rodentia,Cricetidae,"Thomasomys cinereus"
Mammalia,Chiroptera,Phyllostomidae,"Sturnira magna"
Mammalia,Chiroptera,Phyllostomidae,"Sturnira oporaphilum"
Mammalia,Chiroptera,Phyllostomidae,"Trinycteris nicefori"
Mammalia,Chiroptera,Phyllostomidae,"Sturnira tildae"
Mammalia,Chiroptera,Phyllostomidae,"Uroderma bilobatum"
Mammalia,Chiroptera,Phyllostomidae,"Vampyressa thyone"
Mammalia,Chiroptera,Phyllostomidae,"Phyllostomus discolor"
Mammalia,Primates,Atelidae,"Ateles chamek"
Mammalia,Didelphimorphia,Didelphidae,"Monodelphis (Mygalodelphys) peruviana"
Mammalia,Chiroptera,Emballonuridae,"Saccopteryx leptura"
Mammalia,Primates,Cebidae,"Saguinus (Leontocebus) fuscicollis"
Mammalia,Primates,Cebidae,"Saimiri boliviensis"
Mammalia,Rodentia,Cricetidae,"Oecomys superans"
Mammalia,Rodentia,Cricetidae,"Oecomys bicolor"
Mammalia,Chiroptera,Mormoopidae,"Pteronotus gymnonotus"
Mammalia,Chiroptera,Mormoopidae,"Pteronotus personatus"
Mammalia,Chiroptera,Phyllostomidae,"Micronycteris minuta"
Mammalia,Didelphimorphia,Didelphidae,"Caluromys lanatus"
Mammalia,Chiroptera,Phyllostomidae,"Micronycteris hirsuta"
Mammalia,Chiroptera,Phyllostomidae,"Micronycteris megalotis"
Mammalia,Chiroptera,Phyllostomidae,"Hsunycteris thomasi"
Mammalia,Rodentia,Dasyproctidae,"Dasyprocta variegata"
Mammalia,Rodentia,Sciuridae,"Hadrosciurus spadiceus"
Mammalia,Rodentia,Cricetidae,"Rhipidomys gardneri"
Mammalia,Rodentia,Sciuridae,"Hadrosciurus ignitus"
Mammalia,Chiroptera,Molossidae,"Cynomops abrasus"
Mammalia,Chiroptera,Phyllostomidae,"Rhinophylla pumilio"
Mammalia,Rodentia,Caviidae,"Hydrochoerus hydrochaeris"
Mammalia,Rodentia,Cricetidae,"Hylaeamys perenensis"
Mammalia,Chiroptera,Phyllostomidae,"Gardnerycteris crenulata"
Mammalia,Chiroptera,Phyllostomidae,"Phyllostomus hastatus"
Mammalia,Chiroptera,Noctilionidae,"Noctilio albiventris"
Mammalia,Didelphimorphia,Didelphidae,"Marmosops (Marmosops) noctivagus"
Mammalia,Chiroptera,Phyllostomidae,"Carollia benkeithi"
Mammalia,Chiroptera,Phyllostomidae,"Carollia brevicauda"
Mammalia,Chiroptera,Phyllostomidae,"Carollia perspicillata"
Mammalia,Didelphimorphia,Didelphidae,"Marmosa (Micoureus) constantiae"
Mammalia,Didelphimorphia,Didelphidae,"Gracilinanus peruanus"
Mammalia,Didelphimorphia,Didelphidae,"Marmosa (Marmosa) macrotarsus"
Mammalia,Chiroptera,Phyllostomidae,"Glossophaga soricina"
Mammalia,Chiroptera,Phyllostomidae,"Enchisthenes hartii"
Mammalia,Carnivora,Procyonidae,"Bassaricyon alleni"
Mammalia,Chiroptera,Phyllostomidae,"Platyrrhinus incarum"
Mammalia,Rodentia,Cricetidae,"Euryoryzomys macconnelli"
Mammalia,Carnivora,Felidae,"Leopardus wiedii"
Mammalia,Carnivora,Felidae,"Leopardus tigrinus"
Mammalia,Chiroptera,Phyllostomidae,"Platyrrhinus brachycephalus"
Mammalia,Chiroptera,Phyllostomidae,"Platyrrhinus infuscus"
Mammalia,Rodentia,Echimyidae,"Proechimys steerei"
Mammalia,Chiroptera,Emballonuridae,"Peropteryx kappleri"
Mammalia,Chiroptera,Emballonuridae,"Peropteryx macrotis"
