Clase,Orden,Familia,Especie
Reptilia,Sauria,Phyllodactylidae,"Phyllodactylus gerrhopygus"
Reptilia,Sauria,Tropiduridae,"Microlophus peruvianus"
Reptilia,Sauria,Gymnophthalmidae,"Selvasaura brava"
Reptilia,Serpentes,Viperidae,"Lachesis muta"
Reptilia,Serpentes,Boidae,"Eunectes murinus"
Reptilia,Sauria,Teiidae,"Tupinambis teguixin"
Reptilia,Serpentes,Dipsadidae,"Xenodon severus"
Reptilia,Sauria,Hoplocercidae,"Enyalioides rudolfarndti"
Reptilia,Serpentes,Dipsadidae,"Imantodes lentiferus"
Reptilia,Testudines,Podocnemididae,"Podocnemis unifilis"
Reptilia,Testudines,Testudinidae,"Chelonoidis denticulatus"
Reptilia,Crocodylia,Alligatoridae,"Caiman crocodilus"
Reptilia,Testudines,Podocnemididae,"Podocnemis sextuberculata"
Reptilia,Serpentes,Dipsadidae,"Dipsas indica"
Reptilia,Testudines,Podocnemididae,"Podocnemis expansa"
Reptilia,Sauria,Gymnophthalmidae,"Potamites ecpleopus"
Reptilia,Sauria,Gymnophthalmidae,"Potamites strangulatus"
Reptilia,Serpentes,Boidae,"Corallus hortulanus"
Reptilia,Serpentes,Boidae,"Boa constrictor"
Reptilia,Serpentes,Viperidae,"Bothrops atrox"
Reptilia,Serpentes,Viperidae,"Bothrops barnetti"
Reptilia,Serpentes,Viperidae,"Bothrops bilineatus"
Reptilia,Serpentes,Colubridae,"Spilotes pullatus"
Reptilia,Crocodylia,Alligatoridae,"Melanosuchus niger"
Reptilia,Amphisbaenia,Amphisbaenidae,"Amphisbaena alba"
Reptilia,Serpentes,Colubridae,"Chironius monticola"
Reptilia,Sauria,Hoplocercidae,"Enyalioides anisolepis"
Reptilia,Sauria,Gymnophthalmidae,"Pholidobolus ulisesi"
Reptilia,Serpentes,Tropidophiidae,"Tropidophis taczanowskyi"
Reptilia,Serpentes,Dipsadidae,"Xenodon rabdocephalus"
Reptilia,Sauria,Scincidae,"Copeoglossum nigropunctatum"
Reptilia,Sauria,Gymnophthalmidae,"Riama laudahnae"
Reptilia,Serpentes,Dipsadidae,"Atractus major"
Reptilia,Sauria,Gymnophthalmidae,"Potamites juruazensis"
Reptilia,Serpentes,Colubridae,"Spilotes sulphureus"
Reptilia,Serpentes,Dipsadidae,"Oxyrhopus guibei"
Reptilia,Sauria,Hoplocercidae,"Enyalioides feiruzae"
Reptilia,Serpentes,Dipsadidae,"Imantodes cenchoa"
Reptilia,Serpentes,Dipsadidae,"Drepanoides anomalus"
Reptilia,Serpentes,Colubridae,"Phrynonax poecilonotus"
Reptilia,Sauria,Dactyloidae,"Anolis ortonii"
Reptilia,Sauria,Dactyloidae,"Anolis fuscoauratus"
Reptilia,Sauria,Dactyloidae,"Anolis boettgeri"
Reptilia,Serpentes,Dipsadidae,"Dipsas catesbyi"
Reptilia,Serpentes,Colubridae,"Dendrophidion dendrophis"
Reptilia,Serpentes,Colubridae,"Chironius scurrulus"
Reptilia,Serpentes,Colubridae,"Chironius fuscus"
Reptilia,Serpentes,Colubridae,"Chironius exoletus"
Reptilia,Sauria,Teiidae,"Kentropyx pelviceps"
Reptilia,Serpentes,Dipsadidae,"Dipsas variegata"
Reptilia,Serpentes,Dipsadidae,"Dipsas peruana"
Reptilia,Sauria,Diploglossidae,"Diploglossus fasciatus"
Reptilia,Serpentes,Elapidae,"Micrurus surinamensis"
Reptilia,Serpentes,Elapidae,"Micrurus obscurus"
Reptilia,Serpentes,Elapidae,"Micrurus narduccii"
Reptilia,Serpentes,Elapidae,"Micrurus lemniscatus"
Reptilia,Serpentes,Elapidae,"Micrurus annellatus"
Reptilia,Sauria,Gymnophthalmidae,"Alopoglossus angulatus"
Reptilia,Sauria,Gymnophthalmidae,"Alopoglossus buckleyi"
Reptilia,Sauria,Teiidae,"Ameiva ameiva"
Reptilia,Serpentes,Typhlopidae,"Amerotyphlops reticulatus"
Reptilia,Amphisbaenia,Amphisbaenidae,"Amphisbaena fuliginosa"
