Clase,Orden,Familia,Especie
Equisetopsida,Caryophyllales,Cactaceae,"Pseudorhipsalis amazonica"
Equisetopsida,Caryophyllales,Cactaceae,"Epiphyllum phyllanthus"
Equisetopsida,Caryophyllales,Cactaceae,"Browningia microsperma"
Equisetopsida,Caryophyllales,Cactaceae,"Armatocereus cartwrightianus"
Equisetopsida,Caryophyllales,Cactaceae,"Armatocereus laetus"
Equisetopsida,Caryophyllales,Cactaceae,"Neoraimondia arequipensis"
Equisetopsida,Caryophyllales,Cactaceae,"Rhipsalis micrantha"
Equisetopsida,Caryophyllales,Cactaceae,"Pilosocereus colombianus"
Equisetopsida,Caryophyllales,Cactaceae,"Praecereus euchlorus subsp. diffusus"
Equisetopsida,Caryophyllales,Cactaceae,"Opuntia quitensis"
Equisetopsida,Caryophyllales,Cactaceae,"Austrocylindropuntia floccosa"
Equisetopsida,Caryophyllales,Cactaceae,"Rhipsalis baccifera"
Equisetopsida,Caryophyllales,Cactaceae,"Cleistocactus fieldianus"
Equisetopsida,Caryophyllales,Cactaceae,"Austrocylindropuntia subulata"
Equisetopsida,Caryophyllales,Cactaceae,"Armatocereus ghiesbreghtii"
Equisetopsida,Caryophyllales,Cactaceae,"Opuntia yanganucensis"
Equisetopsida,Caryophyllales,Cactaceae,"Matucana blancii"
Equisetopsida,Caryophyllales,Cactaceae,"Oroya borchersii"
Equisetopsida,Caryophyllales,Cactaceae,"Matucana haynei"
Equisetopsida,Caryophyllales,Cactaceae,"Selenicereus monacanthus"
Equisetopsida,Caryophyllales,Cactaceae,"Kimnachia ramulosa subsp. Ramulosa"
Equisetopsida,Caryophyllales,Cactaceae,"Cumulopuntia galerasensis"
Equisetopsida,Caryophyllales,Cactaceae,"Corryocactus brevistylus"
Equisetopsida,Caryophyllales,Cactaceae,"Eriosyce islayensis"
Equisetopsida,Caryophyllales,Cactaceae,"Haageocereus decumbens"
Equisetopsida,Caryophyllales,Cactaceae,"Haageocereus limensis"
Equisetopsida,Caryophyllales,Cactaceae,"Mila caespitosa"
Equisetopsida,Caryophyllales,Cactaceae,"Haageocereus kagenekii"
Equisetopsida,Caryophyllales,Cactaceae,"Opuntia ficus-indica"
Equisetopsida,Caryophyllales,Cactaceae,"Haageocereus acranthus"
Equisetopsida,Caryophyllales,Cactaceae,"Borzicactus acanthurus"
Equisetopsida,Caryophyllales,Cactaceae,"Armatocereus matucanensis"
Equisetopsida,Caryophyllales,Cactaceae,"Trichocereus macrogonus var. Pachanoi"
Equisetopsida,Caryophyllales,Cactaceae,"Corryocactus prostratus"
Equisetopsida,Caryophyllales,Cactaceae,"Airampoa ayrampo"
Equisetopsida,Caryophyllales,Cactaceae,"Austrocylindropuntia lagopus"
Equisetopsida,Caryophyllales,Cactaceae,"Oreocereus leucotrichus"
Equisetopsida,Caryophyllales,Cactaceae,"Oreocereus hempelianus"
Equisetopsida,Caryophyllales,Cactaceae,"Opuntia corotilla"
Equisetopsida,Caryophyllales,Cactaceae,"Cumulopuntia sphaerica"
Equisetopsida,Caryophyllales,Cactaceae,"Cumulopuntia boliviana"
Equisetopsida,Caryophyllales,Cactaceae,"Echinopsis pampana"
Equisetopsida,Caryophyllales,Cactaceae,"Echinopsis pamparuizii"
Equisetopsida,Caryophyllales,Cactaceae,"Melocactus peruvianus"
Equisetopsida,Caryophyllales,Cactaceae,"Oreocereus piscoensis"
Equisetopsida,Caryophyllales,Cactaceae,"Espostoa melanostele"
Equisetopsida,Caryophyllales,Cactaceae,"Haageocereus pacalaensis"
Equisetopsida,Caryophyllales,Cactaceae,"Pygmaeocereus bieblii"
Equisetopsida,Caryophyllales,Cactaceae,"Matucana aureiflora"
Equisetopsida,Caryophyllales,Cactaceae,"Cylindropuntia tunicata"
Equisetopsida,Caryophyllales,Cactaceae,"Trichocereus macrogonus"
Equisetopsida,Caryophyllales,Cactaceae,"Echinopsis pachanoi"
Equisetopsida,Caryophyllales,Cactaceae,"Armatocereus riomajensis"
Equisetopsida,Caryophyllales,Cactaceae,"Browningia candelaris"
Equisetopsida,Caryophyllales,Cactaceae,"Browningia hertlingiana"
Equisetopsida,Caryophyllales,Cactaceae,"Cumulopuntia ignescens"
Equisetopsida,Caryophyllales,Cactaceae,"Cumulopuntia corotilla"
Equisetopsida,Caryophyllales,Cactaceae,"Corryocactus aureus"
Equisetopsida,Caryophyllales,Cactaceae,"Weberbauerocereus rauhii"
Equisetopsida,Caryophyllales,Cactaceae,"Trichocereus cuzcoensis"
Equisetopsida,Caryophyllales,Cactaceae,"Espostoa lanata"
Equisetopsida,Caryophyllales,Cactaceae,"Praecereus euchlorus"
Equisetopsida,Caryophyllales,Cactaceae,"Selenicereus undatus"
Equisetopsida,Caryophyllales,Cactaceae,"Opuntia tuna"
Equisetopsida,Caryophyllales,Cactaceae,"Echinopsis cuzcoensis"
Equisetopsida,Caryophyllales,Cactaceae,"Corryocactus erectus"
Equisetopsida,Caryophyllales,Cactaceae,"Cereus vargasianus"
Equisetopsida,Caryophyllales,Cactaceae,"Haageocereus pseudoversicolor"
Equisetopsida,Caryophyllales,Cactaceae,"Cleistocactus pungens"
Equisetopsida,Caryophyllales,Cactaceae,"Selenicereus grandiflorus"
,,,
