Clase,Orden,Familia,Especie
Actinopterygii,Characiformes,Characidae,"Astyanax maximus"
Actinopterygii,Siluriformes,Callichthyidae,"Corydoras aeneus"
Actinopterygii,Characiformes,Bryconidae,"Salminus iquitensis"
Actinopterygii,Siluriformes,Astroblepidae,"Astroblepus rosei"
Actinopterygii,Characiformes,Characidae,"Astyanax bimaculatus"
Actinopterygii,Characiformes,Characidae,"Astyanax fasciatus"
Actinopterygii,Characiformes,Parodontidae,"Parodon buckleyi"
Actinopterygii,Characiformes,Characidae,"Bryconamericus osgoodi"
Actinopterygii,Siluriformes,Loricariidae,"Chaetostoma marmorescens"
Actinopterygii,Characiformes,Characidae,"Othonocheirodus eigenmanni"
Actinopterygii,Characiformes,Curimatidae,"Steindachnerina dobula"
Actinopterygii,Characiformes,Characidae,"Creagrutus peruanus"
Actinopterygii,Characiformes,Anostomidae,"Leporinus striatus"
Actinopterygii,Characiformes,Characidae,"Hemibrycon huambonicus"
Actinopterygii,Characiformes,Characidae,"Knodus megalops"
Actinopterygii,Characiformes,Characidae,"Cheirodontops geayi"
Actinopterygii,Siluriformes,Astroblepidae,"Astroblepus sabalo"
Actinopterygii,Perciformes,Sciaenidae,"Plagioscion squamosissimus"
Actinopterygii,Characiformes,Curimatidae,"Steindachnerina leucisca"
Actinopterygii,Siluriformes,Heptapteridae,"Pimelodella serrata"
Actinopterygii,Siluriformes,Pimelodidae,"Pimelodus blochii"
Actinopterygii,Siluriformes,Pimelodidae,"Pimelodus maculatus"
Actinopterygii,Siluriformes,Pimelodidae,"Pimelodus ornatus"
Actinopterygii,Siluriformes,Pimelodidae,"Pimelodus pictus"
Actinopterygii,Characiformes,Curimatidae,"Steindachnerina guentheri"
Actinopterygii,Characiformes,Characidae,"Moenkhausia oligolepis"
Actinopterygii,Siluriformes,Pimelodidae,"Sorubim lima"
Actinopterygii,Siluriformes,Pimelodidae,"Sorubimichthys planiceps"
Actinopterygii,Characiformes,Characidae,"Moenkhausia intermedia"
Actinopterygii,Characiformes,Characidae,"Moenkhausia dichroura"
Actinopterygii,Siluriformes,Loricariidae,"Loricaria cataphracta"
Actinopterygii,Characiformes,Serrasalmidae,"Mylossoma albiscopum"
Actinopterygii,Siluriformes,Loricariidae,"Liposarcus disjunctivus"
Actinopterygii,Siluriformes,Loricariidae,"Limatulichthys griseus"
Actinopterygii,Siluriformes,Loricariidae,"Aphanotorulus unicolor"
Actinopterygii,Characiformes,Anostomidae,"Leporinus yophorus"
Actinopterygii,Characiformes,Anostomidae,"Leporinus pearsoni"
Actinopterygii,Characiformes,Anostomidae,"Leporinus friderici"
Actinopterygii,Characiformes,Anostomidae,"Leporellus vittatus"
Actinopterygii,Characiformes,Characidae,"Aphyocharax alburnus"
Actinopterygii,Characiformes,Characidae,"Aphyocharax pusillus"
Actinopterygii,Characiformes,Serrasalmidae,"Serrasalmus spilopleura"
Actinopterygii,Characiformes,Serrasalmidae,"Serrasalmus rhombeus"
Actinopterygii,Characiformes,Characidae,"Serrapinnus piaba"
Actinopterygii,Characiformes,Characidae,"Serrapinnus heterodon"
Actinopterygii,Characiformes,Characidae,"Knodus hypopterus"
Actinopterygii,Characiformes,Characidae,"Jupiaba anteroides"
Actinopterygii,Characiformes,Characidae,"Astyanacinus multidens"
Actinopterygii,Characiformes,Characidae,"Astyanax abramis"
Actinopterygii,Siluriformes,Auchenipteridae,"Auchenipterus ambyiacus"
Actinopterygii,Characiformes,Anostomidae,"Schizodon fasciatus"
Actinopterygii,Siluriformes,Loricariidae,"Hypostomus pyrineusi"
Actinopterygii,Siluriformes,Loricariidae,"Hypostomus emarginatus"
Actinopterygii,Siluriformes,Loricariidae,"Hypoptopoma incognitum"
Actinopterygii,Characiformes,Characidae,"Brachychalcinus copei"
Actinopterygii,Characiformes,Characidae,"Brachychalcinus nummus"
Actinopterygii,Characiformes,Characidae,"Brachychalcinus orbicularis"
Actinopterygii,Characiformes,Erythrinidae,"Hoplias malabaricus"
Actinopterygii,Characiformes,Characidae,"Odontostilbe fugitiva"
Actinopterygii,Characiformes,Characidae,"Bryconacidnus ellisi"
Actinopterygii,Characiformes,Characidae,"Bryconamericus alfredae"
Actinopterygii,Characiformes,Characidae,"Bryconamericus diaphanus"
Actinopterygii,Characiformes,Characidae,"Bryconamericus phoenicopterus"
Actinopterygii,Cichliformes,Cichlidae,"Bujurquina eurhinus"
Actinopterygii,Cichliformes,Cichlidae,"Bujurquina tambopatae"
Actinopterygii,Siluriformes,Aspredinidae,"Bunocephalus coracoideus"
Actinopterygii,Siluriformes,Loricariidae,"Hemiodontichthys acipenserinus"
Actinopterygii,Characiformes,Characidae,"Hemigrammus lunatus"
